Experiment,Relative Variance
Original Model,1.0
Stage 4 (Full),1.0
Stage 3 (Full),1.0
Stage 2 (Full),1.0
Stage 1 (Full),1.0
Stage 3 Block 1 Only,1.0
Stage 3 Block 2 Only,1.0
Stage 3 Block 3 Only,1.0
Stage 1 Block 1 Only,1.0
Stage 3 Inner (Block 2),1.0
