Model,FLOPs,Inference Time (s)
Original Model_JF,32612155392.0,0.021075100708007815
Stage 4_JF,29835657216.0,0.016941543912887574
Last 2_Kevin,29835657216.0,0.010654625511169436
Original Model_Kevin,32612155392.0,0.019192180824279783
Stage 4_Kevin,29835657216.0,0.02036994891166687
Stage 4-5_JF,29835657216.0,0.01057847993373871
Stage 3_Kevin,30714494976.0,0.021024361610412594
Stage 2-5_Kevin,31434080256.0,0.010533691096305847
Stage 3-5_Kevin,30714494976.0,0.020194915437698364
Stage 4-5_Kevin,29835657216.0,0.019422654294967652
Stage 2_JF,31434080256.0,0.018723539352416996
Stage 3-5_JF,30714494976.0,0.021796590375900267
Stage 1-5_JF,31844597760.0,0.020873060750961302
Stage 2 last 2 conv_Kevin,31683641344.0,0.01773196654319763
Stage 3 last 2 conv_Kevin,32612155392.0,0.011227715182304383
Stage 3 last 2 conv_JF,32612155392.0,0.021873446178436277
Stage 4 last 2 conv_Kevin,32612155392.0,0.021024100828170772
Stage 2 last 2 conv_JF,31683641344.0,0.022150932693481444
Stage 3 first 2 conv_JF,32612155392.0,0.011375326323509216
Stage 4 last 2 conv_JF,32612155392.0,0.019457148838043215
Stage 4 first 2 conv_JF,32612155392.0,0.01860939531326294
Stage 3 first 2 conv_Kevin,32612155392.0,0.021321233654022213
