Model,FLOPs,Inference Time (s)
Stage 4_JF,29974331392.0,0.010826520133018495
Last 2_Kevin,29974331392.0,0.010686710381507872
Stage 3_JF,30809128960.0,0.02063560328483582
Last 2_JF,29974331392.0,0.019843881702423093
Stage 4_Kevin,29974331392.0,0.01889051523208618
Stage 3_Kevin,30809128960.0,0.021371894454956054
Original Model_JF,32612155392.0,0.022029923152923587
Original Model_Kevin,32612155392.0,0.021772204732894897
Stage 1-5_Kevin,31920095232.0,0.021669319915771482
Stage 4 last 2 conv_JF,32750829568.0,0.02270217580795288
Stage 4-5_JF,29974331392.0,0.019983449602127078
Stage 3-5_Kevin,30809128960.0,0.020764702272415166
Stage 3-5_JF,30809128960.0,0.02190265765190124
Stage 4-5_Kevin,29974331392.0,0.020041345500946044
Stage 1-5_JF,31920095232.0,0.020011159896850584
Stage 1 last 2 conv_JF,31964135424.0,0.020912646198272704
Stage 3 last 2 conv_JF,32706789376.0,0.022479492616653447
Stage 4 last 2 conv_Kevin,32750829568.0,0.021933395195007328
Stage 1 first 2 conv_JF,32001884160.0,0.019174208116531376
Stage 3 last 2 conv_Kevin,32706789376.0,0.021474471950531003
Stage 3 first 2 conv_Kevin,32619495424.0,0.02241006393432618
Stage 4 first 2 conv_Kevin,32639549440.0,0.02189604640007019
Stage 3 first 2 conv_JF,32619495424.0,0.022147571086883547
Stage 1 last 2 conv_Kevin,31964135424.0,0.021816049623489382
Stage 1 first 2 conv_Kevin,32001884160.0,0.021491606283187865
Stage 4 first 2 conv_JF,32639549440.0,0.022462209510803223
