Model,FLOPs,Memory (MB)
Stage 4_JF,29974331392.0,685.8515625
Last 2_Kevin,29974331392.0,685.8515625
Stage 3_JF,30809128960.0,677.4140625
Last 2_JF,29974331392.0,685.8515625
Stage 4_Kevin,29974331392.0,685.8515625
Stage 3_Kevin,30809128960.0,677.4140625
Original Model_JF,32612155392.0,756.9140625
Original Model_Kevin,32612155392.0,756.9140625
Stage 1-5_Kevin,31920095232.0,650.7890625
Stage 4 last 2 conv_JF,32750829568.0,703.1015625
Stage 4-5_JF,29974331392.0,685.8515625
Stage 3-5_Kevin,30809128960.0,677.4140625
Stage 3-5_JF,30809128960.0,677.4140625
Stage 4-5_Kevin,29974331392.0,685.8515625
Stage 1-5_JF,31920095232.0,650.7890625
Stage 1 last 2 conv_JF,31964135424.0,680.7890625
Stage 3 last 2 conv_JF,32706789376.0,705.9140625
Stage 4 last 2 conv_Kevin,32750829568.0,703.1015625
Stage 1 first 2 conv_JF,32001884160.0,686.7890625
Stage 3 last 2 conv_Kevin,32706789376.0,705.9140625
Stage 3 first 2 conv_Kevin,32619495424.0,709.2890625
Stage 4 first 2 conv_Kevin,32639549440.0,705.9140625
Stage 3 first 2 conv_JF,32619495424.0,709.2890625
Stage 1 last 2 conv_Kevin,31964135424.0,680.7890625
Stage 1 first 2 conv_Kevin,32001884160.0,686.7890625
Stage 4 first 2 conv_JF,32639549440.0,705.9140625
