Model,Parameters,Accuracy,Inference Time (s),Memory Usage (bytes),FLOPs
Stage 4_JF,10158836,27.468,0.016941543912887574,681.5390625,29835657216
Last 2_Kevin,10158836,31.256,0.010654625511169436,681.5390625,29835657216
Stage 4_Kevin,10158836,31.594,0.02036994891166687,681.5390625,29835657216
Stage 4-5_JF,10158836,27.408,0.01057847993373871,681.5390625,29835657216
Stage 4-5_Kevin,10158836,31.734,0.019422654294967652,681.5390625,29835657216
Stage 3_Kevin,11282900,30.632,0.021024361610412594,670.2890625,30714494976
Stage 3-5_Kevin,11282900,30.632,0.020194915437698364,670.2890625,30714494976
Stage 3-5_JF,11282900,26.296,0.021796590375900267,670.2890625,30714494976
Stage 2-5_Kevin,11482964,27.982,0.010533691096305847,593.7890625,31434080256
Stage 2_JF,11482964,22.542,0.018723539352416996,593.7890625,31434080256
Stage 2 last 2 conv_Kevin,11486212,27.86,0.01773196654319763,677.7890625,31683641344
Stage 2 last 2 conv_JF,11486212,22.294,0.022150932693481444,677.7890625,31683641344
Stage 1-5_JF,11508692,23.488,0.020873060750961302,626.7890625,31844597760
Stage 1 first 2 conv_JF,11509316,24.964,0.011003414463996886,662.7890625,31926386688
Stage 1 first 2 conv_Kevin,11509316,29.902,0.021547756719589233,662.7890625,31926386688
Original Model_JF,11514548,27.226,0.021075100708007815,756.9140625,32612155392
Original Model_Kevin,11514548,32.412,0.019192180824279783,756.9140625,32612155392
Stage 3 last 2 conv_Kevin,11514548,31.23,0.011227715182304383,698.7890625,32612155392
Stage 3 last 2 conv_JF,11514548,26.85,0.021873446178436277,698.7890625,32612155392
Stage 4 last 2 conv_Kevin,11514548,32.088,0.021024100828170772,698.7890625,32612155392
Stage 3 first 2 conv_JF,11514548,24.958,0.011375326323509216,698.7890625,32612155392
Stage 4 last 2 conv_JF,11514548,27.948,0.019457148838043215,698.7890625,32612155392
Stage 4 first 2 conv_JF,11514548,27.728,0.01860939531326294,698.7890625,32612155392
Stage 3 first 2 conv_Kevin,11514548,29.758,0.021321233654022213,698.7890625,32612155392
