Model,FLOPs,Inference Time (s)
Stage 4_JF,29974331392.0,0.010826520133018495
Last 2_Kevin,29974331392.0,0.010686710381507872
Stage 3_JF,30809128960.0,0.02136784000396728
Last 2_JF,29974331392.0,0.020010966587066647
Stage 4_Kevin,29974331392.0,0.020447400188446044
Stage 3_Kevin,30809128960.0,0.021337163019180296
Original Model_JF,32612155392.0,0.022029923152923587
Original Model_Kevin,32612155392.0,0.021772204732894897
Stage 1-5_Kevin,31920095232.0,0.010979507207870482
Stage 4 last 2 conv_JF,32750829568.0,0.022130151796340945
Stage 4-5_JF,29974331392.0,0.01967593612670898
Stage 3-5_Kevin,30809128960.0,0.021533630323410036
Stage 3-5_JF,30809128960.0,0.021223660755157477
Stage 4-5_Kevin,29974331392.0,0.0199937294960022
Stage 1-5_JF,31920095232.0,0.011011503982543944
Stage 1 last 2 conv_JF,31964135424.0,0.02168863039016724
Stage 3 last 2 conv_JF,32706789376.0,0.021583750438690184
Stage 4 last 2 conv_Kevin,32750829568.0,0.02264264311790467
Stage 1 first 2 conv_JF,32001884160.0,0.02187729444503784
Stage 3 last 2 conv_Kevin,32706789376.0,0.018759750604629515
Stage 3 first 2 conv_Kevin,32619495424.0,0.021548191928863522
Stage 4 first 2 conv_Kevin,32639549440.0,0.02157907838821411
Stage 3 first 2 conv_JF,32619495424.0,0.02143783836364746
Stage 1 last 2 conv_Kevin,31964135424.0,0.02180301103591919
Stage 1 first 2 conv_Kevin,32001884160.0,0.021999317026138308
Stage 4 first 2 conv_JF,32639549440.0,0.019719003105163578
