Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Stage 4_JF,27.566,10226916,29974331392,0.010826520133018495,685.8515625
Last 2_Kevin,31.564,10226916,29974331392,0.010686710381507872,685.8515625
Stage 3_JF,26.344,11294604,30809128960,0.02136784000396728,677.4140625
Last 2_JF,27.252,10226916,29974331392,0.020010966587066647,685.8515625
Stage 4_Kevin,31.758,10226916,29974331392,0.020447400188446044,685.8515625
Stage 3_Kevin,30.614,11294604,30809128960,0.021337163019180296,677.4140625
Original Model_JF,27.24,11514548,32612155392,0.022029923152923587,756.9140625
Original Model_Kevin,32.156,11514548,32612155392,0.021772204732894897,756.9140625
Stage 1-5_Kevin,29.854,11509292,31920095232,0.010979507207870482,650.7890625
Stage 4 last 2 conv_JF,28.516,11582628,32750829568,0.02270217580795288,703.1015625
Stage 4-5_JF,27.52,10226916,29974331392,0.01967593612670898,685.8515625
Stage 3-5_Kevin,30.664,11294604,30809128960,0.021533630323410036,677.4140625
Stage 3-5_JF,26.344,11294604,30809128960,0.021223660755157477,677.4140625
Stage 4-5_Kevin,31.738,10226916,29974331392,0.0199937294960022,685.8515625
Stage 1-5_JF,24.392,11509292,31920095232,0.011011503982543944,650.7890625
Stage 1 last 2 conv_JF,25.024,11509628,31964135424,0.020912646198272704,680.7890625
Stage 3 last 2 conv_JF,26.404,11526252,32706789376,0.022479492616653447,705.9140625
Stage 4 last 2 conv_Kevin,32.102,11582628,32750829568,0.021933395195007328,703.1015625
Stage 1 first 2 conv_JF,23.9,11509916,32001884160,0.019174208116531376,686.7890625
Stage 3 last 2 conv_Kevin,31.318,11526252,32706789376,0.021474471950531003,705.9140625
Stage 3 first 2 conv_Kevin,29.414,11514924,32619495424,0.02241006393432618,709.2890625
Stage 4 first 2 conv_Kevin,29.934,11518260,32639549440,0.02189604640007019,705.9140625
Stage 3 first 2 conv_JF,24.536,11514924,32619495424,0.022147571086883547,709.2890625
Stage 1 last 2 conv_Kevin,29.674,11509628,31964135424,0.021816049623489382,680.7890625
Stage 1 first 2 conv_Kevin,29.742,11509916,32001884160,0.021491606283187865,686.7890625
Stage 4 first 2 conv_JF,26.938,11518260,32639549440,0.022462209510803223,705.9140625
