Model,Params,Time,Accuracy
Last 2_JF,10158836,0.0200356032371521,27.108
Last 2_Kevin,10158836,0.019665998411178588,31.394
Original Model_Kevin,11514548,0.021849793481826786,32.156
Stage 1 first 2 conv_JF,11509316,0.010739224052429197,24.916
Stage 1 last 2 conv_JF,11509316,0.011026177620887758,24.758
Stage 1 last 2 conv_Kevin,11509316,0.021751864242553712,29.686
Stage 1-5_JF,11508692,0.021170614433288572,24.106
Stage 1-5_Kevin,11508692,0.0210211570262909,29.476
Stage 2 first 2 conv_JF,11486212,0.02123436026573181,21.574
Stage 2 first 2 conv_Kevin,11486212,0.02078672785758972,27.606
Stage 2-5_JF,11482964,0.010493860793113706,23.488
Stage 2_Kevin,11482964,0.020997433662414553,27.914
Stage 3 first 2 conv_JF,11514548,0.011083288073539733,24.592
Stage 3 first 2 conv_Kevin,11514548,0.021727054214477536,29.552
Stage 3 last 2 conv_JF,11514548,0.02131907501220703,26.632
Stage 3 last 2 conv_Kevin,11514548,0.020853031873703007,31.054
Stage 3-5_JF,11282900,0.021480996847152708,25.95
Stage 3-5_Kevin,11282900,0.010918332862854003,30.554
Stage 3_JF,11282900,0.020952376174926755,26.162
Stage 3_Kevin,11282900,0.010830772733688354,30.554
Stage 4 first 2 conv_Kevin,11514548,0.02110818552970886,30.23
Stage 4 last 2 conv_JF,11514548,0.011077959895133969,28.148
Stage 4 last 2 conv_Kevin,11514548,0.02163874702453613,32.278
Stage 4-5_JF,10158836,0.019354198408126834,27.586
Stage 4-5_Kevin,10158836,0.019457942581176755,32.116
Stage 4_Kevin,10158836,0.01046291992664337,32.064
