Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Last 2_Kevin,31.256,10158836,29835657216,0.02042908148765564,681.5390625
Original Model_Kevin,32.422,11514548,32612155392,0.01987576475143433,756.9140625
Stage 4_JF,27.468,10158836,29835657216,0.017316663837432862,681.5390625
Last 2_JF,27.35,10158836,29835657216,0.018460275220870973,681.5390625
Stage 4_Kevin,31.734,10158836,29835657216,0.018215814304351804,681.5390625
Stage 3_JF,26.296,11282900,30714494976,0.021488380718231205,670.2890625
Stage 2_JF,23.178,11482964,31434080256,0.019759446430206298,593.7890625
Stage 3_Kevin,30.632,11282900,30714494976,0.020656300830841065,670.2890625
Stage 4 last 2 conv_JF,27.948,11514548,32612155392,0.020843100690841672,698.7890625
Stage 3-5_JF,26.592,11282900,30714494976,0.019222048187255862,670.2890625
Stage 4-5_Kevin,31.594,10158836,29835657216,0.020940913724899292,681.5390625
Stage 4 last 2 conv_Kevin,32.144,11514548,32612155392,0.022621223974227906,698.7890625
Stage 2-5_Kevin,27.968,11482964,31434080256,0.01988828158378601,593.7890625
Stage 3 last 2 conv_JF,26.85,11514548,32612155392,0.0213841296672821,698.7890625
Stage 4 first 2 conv_JF,27.664,11514548,32612155392,0.01234305922985077,698.7890625
Stage 1 last 2 conv_Kevin,29.478,11509316,31926386688,0.01206171202659607,662.7890625
Stage 3 last 2 conv_Kevin,31.296,11514548,32612155392,0.022176948833465573,698.7890625
Stage 2 first 2 conv_JF,23.134,11486212,31540510720,0.019836411142349242,614.7890625
