Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Original Model_JF,27.226,11514548,32612155392,0.021075100708007815,756.9140625
Stage 4_JF,27.468,10158836,29835657216,0.016941543912887574,681.5390625
Last 2_Kevin,31.256,10158836,29835657216,0.010654625511169436,681.5390625
Original Model_Kevin,32.412,11514548,32612155392,0.019192180824279783,756.9140625
Stage 4_Kevin,31.594,10158836,29835657216,0.02036994891166687,681.5390625
Stage 4-5_JF,27.408,10158836,29835657216,0.01057847993373871,681.5390625
Stage 3_Kevin,30.632,11282900,30714494976,0.021024361610412594,670.2890625
Stage 2-5_Kevin,27.982,11482964,31434080256,0.010533691096305847,593.7890625
Stage 3-5_Kevin,30.632,11282900,30714494976,0.020194915437698364,670.2890625
Stage 4-5_Kevin,31.734,10158836,29835657216,0.019422654294967652,681.5390625
Stage 2_JF,22.542,11482964,31434080256,0.018723539352416996,593.7890625
Stage 3-5_JF,26.296,11282900,30714494976,0.021796590375900267,670.2890625
Stage 1-5_JF,23.488,11508692,31844597760,0.020873060750961302,626.7890625
Stage 2 last 2 conv_Kevin,27.86,11486212,31683641344,0.01773196654319763,677.7890625
Stage 3 last 2 conv_Kevin,31.23,11514548,32612155392,0.011227715182304383,698.7890625
Stage 3 last 2 conv_JF,26.85,11514548,32612155392,0.021873446178436277,698.7890625
Stage 4 last 2 conv_Kevin,32.088,11514548,32612155392,0.021024100828170772,698.7890625
Stage 2 last 2 conv_JF,22.294,11486212,31683641344,0.022150932693481444,677.7890625
