Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Last 2_Kevin,0.8839570063694271,0.0,0.0,0.8236996308733935,0.5379310344827586
Original Model_Kevin,1.0,1.0,1.0,0.7791998114331526,1.0
Stage 4_JF,0.5069665605095544,0.0,0.0,0.5733872611385022,0.5379310344827586
Last 2_JF,0.49522292993630607,0.0,0.0,0.6653608031288264,0.5379310344827586
Stage 4_Kevin,0.9247611464968156,0.0,0.0,0.0,0.5379310344827586
Stage 3_JF,0.40804140127388555,0.8291318510126044,0.3165274040504178,0.023363690570183435,0.4689655172413793
Stage 2_JF,0.01671974522293022,0.976703016569891,0.5756974932729075,0.7748211560251207,0.0
Stage 3_Kevin,0.8194665605095545,0.8291318510126044,0.3165274040504178,0.6805615431994007,0.4689655172413793
Stage 4 last 2 conv_JF,0.554737261146497,1.0,1.0,0.8569966171752895,0.6436781609195402
Stage 3-5_JF,0.41978503184713384,0.8291318510126044,0.3165274040504178,0.7266254590473954,0.4689655172413793
Stage 4-5_Kevin,0.9175955414012743,0.0,0.0,0.8648631103961366,0.5379310344827586
Stage 4 last 2 conv_Kevin,0.9723328025477709,1.0,1.0,1.0,0.6436781609195402
Stage 2-5_Kevin,0.5567277070063696,0.976703016569891,0.5756974932729075,0.7802064623134738,0.0
Stage 3 last 2 conv_JF,0.4454617834394908,1.0,1.0,0.9005082086155811,0.6436781609195402
Stage 4 first 2 conv_JF,0.5264729299363061,1.0,1.0,0.17339121454136988,0.6436781609195402
Stage 1 last 2 conv_Kevin,0.707006369426752,0.9961407732615777,0.7530094887409715,0.1507642110092676,0.42298850574712643
Stage 3 last 2 conv_Kevin,0.8879378980891722,1.0,1.0,0.9642697170508071,0.6436781609195402
Stage 2 first 2 conv_JF,0.0756369426751594,0.9790988056460369,0.614030118491243,0.7760348457200827,0.12873563218390804
Stage 2 last 2 conv_Kevin,0.5354299363057329,0.9790988056460369,0.6655808903365906,0.8784991212997437,0.5149425287356322
Stage 2 last 2 conv_JF,0.0,0.9790988056460369,0.6655808903365906,0.8720630205473963,0.5149425287356322
Stage 3 first 2 conv_JF,0.27229299363057335,1.0,1.0,0.9272548255209903,0.6436781609195402
Stage 3 first 2 conv_Kevin,0.7430334394904461,1.0,1.0,0.9158800697868984,0.6436781609195402
Stage 4-5_JF,0.5069665605095544,0.0,0.0,0.8275426115058403,0.5379310344827586
Stage 1 first 2 conv_Kevin,0.7424363057324843,0.9961407732615777,0.7530094887409715,0.7805264889142108,0.42298850574712643
