Model,Accuracy,Memory (MB)
Stage 3_JF,26.162,670.2890625
Stage 4_Kevin,32.064,681.5390625
Last 2_JF,27.108,681.5390625
Original Model_Kevin,32.156,756.9140625
Stage 3_Kevin,30.554,670.2890625
