Model,FLOPs,Inference Time (s)
Last 2_JF,29835657216.0,0.019379873514175413
Original Model_JF,32612155392.0,0.018387948846817014
Original Model_Kevin,32612155392.0,0.020911063957214357
Last 2_Kevin,29835657216.0,0.017343247938156125
Stage 4_JF,29835657216.0,0.017197809600830078
Stage 3_Kevin,30714494976.0,0.019990870475769043
Stage 2_JF,31434080256.0,0.01832083826065064
Stage 3_JF,30714494976.0,0.018474566507339477
Stage 4_Kevin,29835657216.0,0.02029302072525024
Stage 2_Kevin,31434080256.0,0.021080096244812007
Stage 4-5_JF,29835657216.0,0.020408287954330445
Stage 2-5_JF,31434080256.0,0.017584799861907956
Stage 3-5_JF,30714494976.0,0.02144602541923523
Stage 4-5_Kevin,29835657216.0,0.02052104644775391
