Model,FLOPs,Inference Time (s)
Stage 3_JF,30714494976.0,0.020952376174926755
Stage 4_Kevin,29835657216.0,0.01046291992664337
Last 2_JF,29835657216.0,0.0200356032371521
Original Model_Kevin,32612155392.0,0.021849793481826786
Stage 3_Kevin,30714494976.0,0.010830772733688354
Last 2_Kevin,29835657216.0,0.019665998411178588
Stage 4-5_JF,29835657216.0,0.019354198408126834
Stage 3-5_Kevin,30714494976.0,0.010918332862854003
Stage 2-5_JF,31434080256.0,0.010493860793113706
Stage 2_Kevin,31434080256.0,0.020997433662414553
