Model,Accuracy,Memory (MB)
Original Model_JF,27.226,756.9140625
Stage 4_JF,27.468,681.5390625
Last 2_Kevin,31.256,681.5390625
Original Model_Kevin,32.412,756.9140625
Stage 4_Kevin,31.594,681.5390625
Stage 4-5_JF,27.408,681.5390625
Stage 3_Kevin,30.632,670.2890625
Stage 2-5_Kevin,27.982,593.7890625
Stage 3-5_Kevin,30.632,670.2890625
Stage 4-5_Kevin,31.734,681.5390625
Stage 2_JF,22.542,593.7890625
Stage 3-5_JF,26.296,670.2890625
Stage 1-5_JF,23.488,626.7890625
Stage 2 last 2 conv_Kevin,27.86,677.7890625
Stage 3 last 2 conv_Kevin,31.23,698.7890625
Stage 3 last 2 conv_JF,26.85,698.7890625
Stage 4 last 2 conv_Kevin,32.088,698.7890625
Stage 2 last 2 conv_JF,22.294,677.7890625
Stage 3 first 2 conv_JF,24.958,698.7890625
Stage 4 last 2 conv_JF,27.948,698.7890625
Stage 4 first 2 conv_JF,27.728,698.7890625
Stage 3 first 2 conv_Kevin,29.758,698.7890625
