Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Last 2_JF,0.49571627814305663,0.0,0.0,0.443126754612825,0.5379310344827586
Original Model_JF,0.48336321976489344,1.0,1.0,0.24168977745615713,1.0
Original Model_Kevin,1.0,1.0,1.0,0.7540761487017411,1.0
Last 2_Kevin,0.8848376170551904,0.0,0.0,0.02953516531821993,0.5379310344827586
Stage 4_JF,0.507471607890018,0.0,0.0,0.0,0.5379310344827586
Stage 3_Kevin,0.8226738394102413,0.8291318510126044,0.3165274040504178,0.5672061177393593,0.4689655172413793
Stage 2_JF,0.016736401673640447,0.976703016569891,0.5756974932729075,0.22806116829114068,0.0
Stage 3_JF,0.3907152819286711,0.8291318510126044,0.3165274040504178,0.2592798226261129,0.4689655172413793
Stage 4_Kevin,0.918509663279538,0.0,0.0,0.628565850898041,0.5379310344827586
Stage 2_Kevin,0.5572823271568043,0.976703016569891,0.5756974932729075,0.7884027000780913,0.0
Stage 4-5_JF,0.507471607890018,0.0,0.0,0.6519739613677367,0.5379310344827586
Stage 2-5_JF,0.08009563658099243,0.976703016569891,0.5756974932729075,0.07858877891221082,0.0
Stage 3-5_JF,0.3907152819286711,0.8291318510126044,0.3165274040504178,0.8627144589998158,0.4689655172413793
Stage 4-5_Kevin,0.918509663279538,0.0,0.0,0.6748726056009244,0.5379310344827586
Stage 3-5_Kevin,0.8202829248854355,0.8291318510126044,0.3165274040504178,0.6197364036101299,0.4689655172413793
Stage 4 last 2 conv_Kevin,0.9733014544730025,1.0,1.0,0.6605149093097891,0.6436781609195402
Stage 4 last 2 conv_JF,0.5552898983861329,1.0,1.0,1.0,0.6436781609195402
Stage 1-5_JF,0.11097828252639975,0.9956804985129585,0.7235519048293443,0.11614307952353355,0.20229885057471264
Stage 3 last 2 conv_JF,0.4459055588762704,1.0,1.0,0.42719195180464115,0.6436781609195402
Stage 2-5_Kevin,0.5572823271568043,0.976703016569891,0.5756974932729075,0.002952922935679401,0.0
Stage 3 last 2 conv_Kevin,0.8900179318589361,1.0,1.0,0.27762297958828147,0.6436781609195402
Stage 2 last 2 conv_JF,0.0,0.9790988056460369,0.6655808903365906,0.6530396940065135,0.5149425287356322
Stage 2 last 2 conv_Kevin,0.5465232117951784,0.9790988056460369,0.6655808903365906,0.5364304042656036,0.5149425287356322
