Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Last 2_JF,0.4871327254305979,0.0,0.0,0.443126754612825,0.5379310344827586
Original Model_JF,0.4745694022289766,1.0,1.0,0.24168977745615713,1.0
Original Model_Kevin,1.0,1.0,1.0,0.7540761487017411,1.0
Last 2_Kevin,0.8828774062816617,0.0,0.0,0.02953516531821993,0.5379310344827586
Stage 4_JF,0.4990881458966565,0.0,0.0,0.0,0.5379310344827586
Stage 3_Kevin,0.8196555217831816,0.8291318510126044,0.3165274040504178,0.5672061177393593,0.4689655172413793
Stage 2_JF,0.0,0.976703016569891,0.5756974932729075,0.22806116829114068,0.0
Stage 3_JF,0.3803444782168185,0.8291318510126044,0.3165274040504178,0.2592798226261129,0.4689655172413793
Stage 4_Kevin,0.9171225937183386,0.0,0.0,0.628565850898041,0.5379310344827586
Stage 2_Kevin,0.5497467071935157,0.976703016569891,0.5756974932729075,0.7884027000780913,0.0
Stage 4-5_JF,0.4990881458966565,0.0,0.0,0.6519739613677367,0.5379310344827586
Stage 2-5_JF,0.0644376899696048,0.976703016569891,0.5756974932729075,0.07858877891221082,0.0
Stage 3-5_JF,0.3803444782168185,0.8291318510126044,0.3165274040504178,0.8627144589998158,0.4689655172413793
Stage 4-5_Kevin,0.9171225937183386,0.0,0.0,0.6748726056009244,0.5379310344827586
Stage 3-5_Kevin,0.8172239108409323,0.8291318510126044,0.3165274040504178,0.6197364036101299,0.4689655172413793
Stage 4 last 2 conv_Kevin,0.9728470111448834,1.0,1.0,0.6605149093097891,0.6436781609195402
Stage 4 last 2 conv_JF,0.5477203647416413,1.0,1.0,1.0,0.6436781609195402
Stage 1-5_JF,0.09584599797365737,0.9956804985129585,0.7235519048293443,0.11614307952353355,0.20229885057471264
Stage 1-5_Kevin,0.7252279635258359,0.9956804985129585,0.7235519048293443,0.8547607354840207,0.20229885057471264
