Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Last 2_JF,0.4871327254305979,0.0,0.0,0.562056363542303,0.5379310344827586
Original Model_JF,0.4745694022289766,1.0,1.0,0.3065562528289385,1.0
Original Model_Kevin,1.0,1.0,1.0,0.9564606369651574,1.0
Last 2_Kevin,0.8828774062816617,0.0,0.0,0.037462029639541414,0.5379310344827586
Stage 4_JF,0.4990881458966565,0.0,0.0,0.0,0.5379310344827586
Stage 3_Kevin,0.8196555217831816,0.8291318510126044,0.3165274040504178,0.7194370563205549,0.4689655172413793
Stage 2_JF,0.0,0.976703016569891,0.5756974932729075,0.2892698975644696,0.0
Stage 3_JF,0.3803444782168185,0.8291318510126044,0.3165274040504178,0.3288672433521996,0.4689655172413793
Stage 4_Kevin,0.9171225937183386,0.0,0.0,0.7972649647645568,0.5379310344827586
Stage 2_Kevin,0.5497467071935157,0.976703016569891,0.5756974932729075,1.0,0.0
