Model,Accuracy,Memory (MB)
Original Model_JF,27.24,756.9140625
Original Model_Kevin,32.172,756.9140625
Last 2_JF,27.252,685.8515625
Stage 4_JF,27.52,685.8515625
Stage 4_Kevin,31.844,685.8515625
Last 2_Kevin,31.564,685.8515625
Stage 4-5_JF,27.566,685.8515625
Stage 3_Kevin,30.664,677.4140625
Stage 3_JF,26.294,677.4140625
Stage 4-5_Kevin,31.738,685.8515625
Stage 3-5_JF,26.344,677.4140625
Stage 3-5_Kevin,30.704,677.4140625
Stage 4 last 2 conv_JF,28.42,703.1015625
Stage 1-5_JF,24.582,650.7890625
Stage 1-5_Kevin,29.854,650.7890625
Stage 4 last 2 conv_Kevin,32.102,703.1015625
Stage 3 last 2 conv_JF,26.518,705.9140625
Stage 3 last 2 conv_Kevin,31.296,705.9140625
Stage 3 first 2 conv_Kevin,29.404,709.2890625
Stage 1 last 2 conv_JF,25.152,680.7890625
Stage 1 last 2 conv_Kevin,29.7,680.7890625
Stage 4 first 2 conv_JF,27.092,705.9140625
