Model,FLOPs,Inference Time (s)
Last 2_Kevin,29835657216.0,0.02042908148765564
Original Model_Kevin,32612155392.0,0.01987576475143433
Stage 4_JF,29835657216.0,0.017316663837432862
Last 2_JF,29835657216.0,0.018460275220870973
Stage 4_Kevin,29835657216.0,0.018215814304351804
Stage 3_JF,30714494976.0,0.021488380718231205
Stage 2_JF,31434080256.0,0.019759446430206298
Stage 3_Kevin,30714494976.0,0.020656300830841065
Stage 4 last 2 conv_JF,32612155392.0,0.020843100690841672
Stage 3-5_JF,30714494976.0,0.019222048187255862
Stage 4-5_Kevin,29835657216.0,0.020940913724899292
Stage 4 last 2 conv_Kevin,32612155392.0,0.022621223974227906
Stage 2-5_Kevin,31434080256.0,0.01988828158378601
Stage 3 last 2 conv_JF,32612155392.0,0.0213841296672821
Stage 4 first 2 conv_JF,32612155392.0,0.01234305922985077
