Model,Params,Time,Accuracy
Last 2_Kevin,10158836,0.010654625511169436,31.256
Original Model_JF,11514548,0.021075100708007815,27.226
Original Model_Kevin,11514548,0.019192180824279783,32.412
Stage 2-5_Kevin,11482964,0.010533691096305847,27.982
Stage 2_JF,11482964,0.018723539352416996,22.542
Stage 3-5_Kevin,11282900,0.020194915437698364,30.632
Stage 3_Kevin,11282900,0.021024361610412594,30.632
Stage 4-5_JF,10158836,0.01057847993373871,27.408
Stage 4-5_Kevin,10158836,0.019422654294967652,31.734
Stage 4_JF,10158836,0.016941543912887574,27.468
Stage 4_Kevin,10158836,0.02036994891166687,31.594
