layer,params,flops
features.conv_1,1792,1769472
features.relu_1,0,0
features.bn_1,128,131072
features.conv_2,36928,37748736
features.relu_2,0,0
features.bn_2,128,131072
features.pool_1,0,0
features.collapsed_conv_3_to_conv_13_139ad6ef.layer_0,32768,8388608
features.collapsed_conv_3_to_conv_13_139ad6ef.layer_1,0,0
features.relu_13,0,0
features.bn_13,1024,65536
features.pool_5,0,0
classifier.fc_1,33558528,33554432
classifier.relu_1,0,0
classifier.dropout_1,0,0
classifier.fc_2,16781312,16777216
classifier.relu_2,0,0
classifier.dropout_2,0,0
classifier.fc_3,40970,40960
