Experiment,Params,Accuracy,FLOPs,Inference Time,Memory
accuracies,0.0,68.986,0.0,0.0,0.0
final_accuracy,0.0,68.986,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,27875914.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.01403314070701599,0.0
flops,0.0,0.0,123062976512.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1617.01953125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,67.102,0.0,0.0,0.0
final_accuracy,0.0,67.102,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,29188170.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.042823411273956294,0.0
flops,0.0,0.0,161195491328.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1701.01953125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,60.356,0.0,0.0,0.0
final_accuracy,0.0,60.356,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,33646666.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.0461029761314392,0.0
flops,0.0,0.0,170324393984.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1713.01953125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,49.904,0.0,0.0,0.0
final_accuracy,0.0,49.904,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,25542474.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.027139420747756958,0.0
flops,0.0,0.0,64487424000.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1348.01953125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,39.308,0.0,0.0,0.0
final_accuracy,0.0,39.308,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,50453578.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.012365648007392883,0.0
flops,0.0,0.0,50486837248.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1296.01953125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,55.062,0.0,0.0,0.0
final_accuracy,0.0,55.062,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,32203082.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.0235726270198822,0.0
flops,0.0,0.0,123046199296.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1521.01953125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,52.178,0.0,0.0,0.0
final_accuracy,0.0,52.178,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,32203082.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.04077780771255494,0.0
flops,0.0,0.0,123046199296.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1521.01953125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,51.038,0.0,0.0,0.0
final_accuracy,0.0,51.038,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,25542474.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.014702177619934082,0.0
flops,0.0,0.0,64487424000.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1348.01953125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,67.508,0.0,0.0,0.0
final_accuracy,0.0,67.508,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,20793418.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.033277903747558596,0.0
flops,0.0,0.0,108554878976.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1557.01953125
