name,ΔAcc,ΔParams(%)
Stage 4_JF,0.0,0.0
Last 2_JF,-1.8840000000000003,4.707490488024895
Original Model_JF,-8.630000000000003,20.701570538637764
Stage 3-5_JF,-19.692000000000007,-8.370810729291243
Stage 2-5_JF,-30.120000000000005,80.99344832244783
Stage 3_JF,-13.924000000000007,15.522963659595163
Stage 3_Kevin,-16.808000000000007,15.522963659595163
Stage 3-5_Kevin,-17.948000000000008,-8.370810729291243
Stage 4-5_JF,-1.4780000000000086,-25.407224315586568
Stage 4-5_Kevin,-0.6680000000000064,-25.407224315586568
