Model,FLOPs,Memory (MB)
Last 2_Kevin,161463926784.0,1707.01953125
Last 2_JF,161463926784.0,1707.01953125
Original Model_JF,170324393984.0,1713.01953125
Original Model_Kevin,170324393984.0,1713.01953125
Stage 4_Kevin,123197194240.0,1629.01953125
Stage 4_JF,123197194240.0,1629.01953125
Stage 3_JF,123180417024.0,1545.01953125
Stage 3_Kevin,123180417024.0,1545.01953125
Stage 3-5_JF,64353206272.0,1372.01953125
Stage 4-5_JF,108689096704.0,1569.01953125
Stage 3-5_Kevin,64353206272.0,1372.01953125
Stage 4-5_Kevin,108689096704.0,1569.01953125
