Model,Accuracy,Memory (MB)
Last 2_Kevin,65.056,1701.01953125
Stage 3_Kevin,50.382,1521.01953125
Original Model_JF,60.356,1713.01953125
Original Model_Kevin,59.38,1713.01953125
Last 2_JF,67.102,1701.01953125
Stage 3_JF,55.13,1521.01953125
Stage 4_JF,68.802,1617.01953125
Stage 4_Kevin,66.43,1617.01953125
Stage 4-5_Kevin,68.456,1557.01953125
Stage 3-5_JF,49.904,1348.01953125
