Model,Accuracy,Memory (MB)
Stage 4_JF,67.802,1617.01953125
Original Model_Kevin,57.404,1713.01953125
Original Model_JF,63.034,1713.01953125
Stage 3_JF,55.056,1521.01953125
Stage 4_Kevin,66.284,1617.01953125
Stage 3_Kevin,50.0,1521.01953125
Stage 4-5_Kevin,67.508,1557.01953125
Stage 4-5_JF,67.39,1557.01953125
