Model,FLOPs,Inference Time (s)
Last 2_Kevin,161463926784.0,0.01661600308418274
Last 2_JF,161463926784.0,0.016598313665390014
Original Model_JF,170324393984.0,0.046338785934448234
Original Model_Kevin,170324393984.0,0.04702489576339723
Stage 4_Kevin,123197194240.0,0.027513918447494505
Stage 4_JF,123197194240.0,0.028126726436614992
Stage 3_JF,123180417024.0,0.014165176010131836
Stage 3_Kevin,123180417024.0,0.014117836761474606
Stage 3-5_JF,64353206272.0,0.020265699195861818
Stage 4-5_JF,108689096704.0,0.034373729801177984
Stage 3-5_Kevin,64353206272.0,0.020260398387908933
Stage 4-5_Kevin,108689096704.0,0.03459602212905883
