name,ΔAcc,ΔParams(%)
Last 2_Kevin,0.0,0.0
Last 2_JF,2.6779999999999973,0.0
Original Model_JF,-7.249999999999993,14.757668157788773
Original Model_Kevin,-5.607999999999997,14.757668157788773
Stage 4_Kevin,-0.8419999999999987,-4.866834830878868
Stage 4_JF,-0.5759999999999934,-4.866834830878868
Stage 3_JF,-11.915999999999997,9.84892301620266
Stage 3_Kevin,-14.165999999999997,9.84892301620266
Stage 3-5_JF,-19.513999999999996,-12.895278725735556
Stage 4-5_JF,-0.7659999999999911,-29.02289016476741
Stage 3-5_Kevin,-18.941999999999993,-12.895278725735556
Stage 4-5_Kevin,-0.5259999999999962,-29.02289016476741
