Model,Accuracy,Memory (MB)
Last 2_Kevin,68.02,1707.01953125
Last 2_JF,70.698,1707.01953125
Original Model_JF,60.77,1713.01953125
Original Model_Kevin,62.412,1713.01953125
Stage 4_Kevin,67.178,1629.01953125
Stage 4_JF,67.444,1629.01953125
