Model,Accuracy,Memory (MB)
Last 2_Kevin,65.056,1701.01953125
Stage 3_Kevin,50.382,1521.01953125
Original Model_JF,60.356,1713.01953125
Original Model_Kevin,59.38,1713.01953125
Last 2_JF,67.102,1701.01953125
