Model,FLOPs,Inference Time (s)
Stage 4_JF,123062976512.0,0.01403314070701599
Last 2_JF,161195491328.0,0.042823411273956294
Original Model_JF,170324393984.0,0.04616090869903565
Stage 3-5_JF,64487424000.0,0.019866831922531126
Stage 2-5_JF,50486837248.0,0.009948358368873594
Stage 3_JF,123046199296.0,0.0235726270198822
Stage 3_Kevin,123046199296.0,0.04077780771255494
Stage 3-5_Kevin,64487424000.0,0.014899153614044192
Stage 4-5_JF,108554878976.0,0.03462386379241943
Stage 4-5_Kevin,108554878976.0,0.018553588867187498
