source_model,source_kind,source_label,source_attack,target_model,target_kind,target_label,dataset,transfer_acc,transfer_success_rate,conditioned_transfer_success_rate,source_attack_success_rate,normalized_transfer_rate,normalized_conditioned_transfer_rate,same_architecture,same_kind,pair_type
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,VGG16,Control_Continuted,VGG16 (Control Continued),Cifar10_epochs200_pretrain200,0.5435,0.4565,0.42396801710128784,,,,False,True,cross_arch_same_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),Cifar10_epochs200_pretrain200,0.2977,0.7022999999999999,0.6921086609363556,,,,False,True,cross_arch_same_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,RegNetX_400MF,Dynamic_Region_All_Combined,RegNetX_400MF (Pruned Finetuned),Cifar10_epochs200_pretrain200,0.3128,0.6872,0.67435023188591,,,,False,False,cross_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,RegNetX_400MF,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Pruned Finetuned Quantized),Cifar10_epochs200_pretrain200,0.3268,0.6732,0.6631776988506317,,,,False,False,cross_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,InceptionNet,Control_Continuted,InceptionNet (Control Continued),Cifar10_epochs200_pretrain200,0.0692,0.9308,0.9348465278744698,,,,True,True,self_same_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,InceptionNet,Dynamic_Region_All_Combined,InceptionNet (Pruned Finetuned),Cifar10_epochs200_pretrain200,0.4386,0.5614,0.5335763990879059,,,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,InceptionNet,Dynamic_Region_All_Combined_quant,InceptionNet (Pruned Finetuned Quantized),Cifar10_epochs200_pretrain200,0.4369,0.5630999999999999,0.5354580879211426,,,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,XceptionNet,Control_Continuted,XceptionNet (Control Continued),Cifar10_epochs200_pretrain200,0.4974,0.5025999999999999,0.4739503860473633,,,,False,True,cross_arch_same_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,XceptionNet,Dynamic_Region_All_Combined,XceptionNet (Pruned Finetuned),Cifar10_epochs200_pretrain200,0.5145,0.48550000000000004,0.45360463857650757,,,,False,False,cross_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,XceptionNet,Dynamic_Region_All_Combined_quant,XceptionNet (Pruned Finetuned Quantized),Cifar10_epochs200_pretrain200,0.4779,0.5221,0.49229681491851807,,,,False,False,cross_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),Cifar10_epochs200_pretrain200,0.3603,0.6396999999999999,0.6229566037654877,,,,False,True,cross_arch_same_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),Cifar10_epochs200_pretrain200,0.0848,0.9152,0.9201458320021629,,,,False,False,cross_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,ConvNeXt,Dynamic_Region_All_Combined_quant,ConvNeXt (Pruned Finetuned Quantized),Cifar10_epochs200_pretrain200,0.0973,0.9027000000000001,0.9033282399177551,,,,False,False,cross_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,VGG16,Control_Continuted,VGG16 (Control Continued),Cifar100_epochs200_pretrain200,0.1735,0.8265,0.7660591006278992,,,,False,True,cross_arch_same_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),Cifar100_epochs200_pretrain200,0.0721,0.9279,0.8996637761592865,,,,False,True,cross_arch_same_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,RegNetX_400MF,Dynamic_Region_All_Combined,RegNetX_400MF (Pruned Finetuned),Cifar100_epochs200_pretrain200,0.0872,0.9128000000000001,0.8778977170586586,,,,False,False,cross_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,RegNetX_400MF,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Pruned Finetuned Quantized),Cifar100_epochs200_pretrain200,0.0716,0.9284,0.9072730466723442,,,,False,False,cross_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,InceptionNet,Control_Continuted,InceptionNet (Control Continued),Cifar100_epochs200_pretrain200,0.0313,0.9687,0.9552291631698608,,,,True,True,self_same_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,InceptionNet,Dynamic_Region_All_Combined,InceptionNet (Pruned Finetuned),Cifar100_epochs200_pretrain200,0.1776,0.8224,0.7464165687561035,,,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,InceptionNet,Dynamic_Region_All_Combined_quant,InceptionNet (Pruned Finetuned Quantized),Cifar100_epochs200_pretrain200,0.1764,0.8236,0.7499557733535767,,,,True,False,same_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,MobileNet,Control_Continuted,MobileNet (Control Continued),Cifar100_epochs200_pretrain200,0.1028,0.8972,0.8550699055194855,,,,False,True,cross_arch_same_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,XceptionNet,Control_Continuted,XceptionNet (Control Continued),Cifar100_epochs200_pretrain200,0.199,0.8009999999999999,0.7165103554725647,,,,False,True,cross_arch_same_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,XceptionNet,Dynamic_Region_All_Combined,XceptionNet (Pruned Finetuned),Cifar100_epochs200_pretrain200,0.1947,0.8053,0.7248274683952332,,,,False,False,cross_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,XceptionNet,Dynamic_Region_All_Combined_quant,XceptionNet (Pruned Finetuned Quantized),Cifar100_epochs200_pretrain200,0.1943,0.8057,0.7269509732723236,,,,False,False,cross_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),Cifar100_epochs200_pretrain200,0.116,0.884,0.8394974321126938,,,,False,True,cross_arch_same_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),Cifar100_epochs200_pretrain200,0.0115,0.9885,0.9856662536039948,,,,False,False,cross_arch_cross_kind
InceptionNet,Control_Continuted,InceptionNet (Control Continued),CW,ConvNeXt,Dynamic_Region_All_Combined_quant,ConvNeXt (Pruned Finetuned Quantized),Cifar100_epochs200_pretrain200,0.012,0.988,0.9916828880086541,,,,False,False,cross_arch_cross_kind
ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),PGD,VGG16,Control_Continuted,VGG16 (Control Continued),tinyimagenet_epochs200_pretrain200,0.008,0.992,0.3947368264198303,,,,False,False,cross_arch_cross_kind
ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),PGD,RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),tinyimagenet_epochs200_pretrain200,0.0104,0.9896,0.7368420958518982,,,,False,False,cross_arch_cross_kind
ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),PGD,RegNetX_400MF,Dynamic_Region_All_Combined,RegNetX_400MF (Pruned Finetuned),tinyimagenet_epochs200_pretrain200,0.0125,0.9875,0.7368420958518982,,,,False,True,cross_arch_same_kind
ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),PGD,RegNetX_400MF,Dynamic_Region_All_Combined_quant,RegNetX_400MF (Pruned Finetuned Quantized),tinyimagenet_epochs200_pretrain200,0.0139,0.9861,0.6842105388641357,,,,False,False,cross_arch_cross_kind
ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),PGD,InceptionNet,Control_Continuted,InceptionNet (Control Continued),tinyimagenet_epochs200_pretrain200,0.0084,0.9916,0.2894737124443054,,,,False,False,cross_arch_cross_kind
ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),PGD,InceptionNet,Dynamic_Region_All_Combined,InceptionNet (Pruned Finetuned),tinyimagenet_epochs200_pretrain200,0.0153,0.9847,0.2894737124443054,,,,False,True,cross_arch_same_kind
ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),PGD,InceptionNet,Dynamic_Region_All_Combined_quant,InceptionNet (Pruned Finetuned Quantized),tinyimagenet_epochs200_pretrain200,0.0189,0.9811,0.3684210777282715,,,,False,False,cross_arch_cross_kind
ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),PGD,XceptionNet,Control_Continuted,XceptionNet (Control Continued),tinyimagenet_epochs200_pretrain200,0.0077,0.9923,0.6052631437778473,,,,False,False,cross_arch_cross_kind
ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),PGD,XceptionNet,Dynamic_Region_All_Combined,XceptionNet (Pruned Finetuned),tinyimagenet_epochs200_pretrain200,0.0119,0.9881,0.6315789520740509,,,,False,True,cross_arch_same_kind
ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),PGD,XceptionNet,Dynamic_Region_All_Combined_quant,XceptionNet (Pruned Finetuned Quantized),tinyimagenet_epochs200_pretrain200,0.0218,0.9782,0.44736844301223755,,,,False,False,cross_arch_cross_kind
ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),PGD,ConvNeXt,Control_Continuted,ConvNeXt (Control Continued),tinyimagenet_epochs200_pretrain200,0.0145,0.9855,0.6315789520740509,,,,True,False,same_arch_cross_kind
ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),PGD,ConvNeXt,Dynamic_Region_All_Combined,ConvNeXt (Pruned Finetuned),tinyimagenet_epochs200_pretrain200,0.0006,0.9994,1.0,,,,True,True,self_same_kind
