model,dataset,attack,n_original,n_finetuned,mean_asr_original,std_asr_original,mean_asr_finetuned,std_asr_finetuned,delta_asr,t_statistic,p_value_ttest,p_value_kruskal,significant_at_0.05,effect_size_abs
ConvNeXt,Cifar100|epochs100_pretrain300,APGD,1,1,0.9714,,0.9985,,0.027100000000000013,,,,False,0.027100000000000013
ConvNeXt,Cifar100|epochs100_pretrain300,BIM,1,2,0.7839,,0.99675,0.00035355339059323483,0.21284999999999998,,,,False,0.21284999999999998
ConvNeXt,Cifar100|epochs100_pretrain300,CW,1,1,0.9975,,0.9999,,0.0023999999999999577,,,,False,0.0023999999999999577
ConvNeXt,Cifar100|epochs100_pretrain300,DeepFool,1,1,0.9871,,0.999,,0.011900000000000022,,,,False,0.011900000000000022
ConvNeXt,Cifar100|epochs100_pretrain300,FGSM,1,1,0.9121,,0.992,,0.07989999999999997,,,,False,0.07989999999999997
ConvNeXt,Cifar100|epochs100_pretrain300,PGD,1,1,0.9523,,0.9971,,0.04479999999999995,,,,False,0.04479999999999995
ConvNeXt,Cifar100|epochs200_pretrain200,APGD,1,1,0.9714,,1.0,,0.02859999999999996,,,,False,0.02859999999999996
ConvNeXt,Cifar100|epochs200_pretrain200,BIM,1,2,0.7729,,0.9969,0.0009899494936612145,0.22399999999999998,,,,False,0.22399999999999998
ConvNeXt,Cifar100|epochs200_pretrain200,CW,1,1,0.9979,,0.9995,,0.0016000000000000458,,,,False,0.0016000000000000458
ConvNeXt,Cifar100|epochs200_pretrain200,DeepFool,1,1,0.9869,,0.9991,,0.012199999999999989,,,,False,0.012199999999999989
ConvNeXt,Cifar100|epochs200_pretrain200,FGSM,1,1,0.9112,,0.9915,,0.08030000000000004,,,,False,0.08030000000000004
ConvNeXt,Cifar100|epochs200_pretrain200,PGD,1,1,0.9523,,0.991,,0.03869999999999996,,,,False,0.03869999999999996
ConvNeXt,Cifar100|epochs300_pretrain100,APGD,1,1,0.9685,,0.999,,0.03049999999999997,,,,False,0.03049999999999997
ConvNeXt,Cifar100|epochs300_pretrain100,BIM,1,2,0.7686999999999999,,0.99515,0.0031819805153394274,0.22645000000000004,,,,False,0.22645000000000004
ConvNeXt,Cifar100|epochs300_pretrain100,CW,1,1,0.9984,,0.9998,,0.0014000000000000679,,,,False,0.0014000000000000679
ConvNeXt,Cifar100|epochs300_pretrain100,DeepFool,1,1,0.9853,,0.9996,,0.01430000000000009,,,,False,0.01430000000000009
ConvNeXt,Cifar100|epochs300_pretrain100,FGSM,1,1,0.9049,,0.9879,,0.08299999999999996,,,,False,0.08299999999999996
ConvNeXt,Cifar100|epochs300_pretrain100,PGD,1,1,0.9486,,0.9965,,0.047900000000000054,,,,False,0.047900000000000054
ConvNeXt,Cifar100|epochs3_pretrain3,APGD,1,1,0.9792,,0.9946,,0.01540000000000008,,,,False,0.01540000000000008
ConvNeXt,Cifar100|epochs3_pretrain3,BIM,1,2,0.8491,,0.99395,0.0012020815280171554,0.14485000000000003,,,,False,0.14485000000000003
ConvNeXt,Cifar100|epochs3_pretrain3,CW,1,1,0.9752,,0.9968,,0.021600000000000064,,,,False,0.021600000000000064
ConvNeXt,Cifar100|epochs3_pretrain3,DeepFool,1,1,0.9956,,0.9993,,0.0036999999999999256,,,,False,0.0036999999999999256
ConvNeXt,Cifar100|epochs3_pretrain3,FGSM,1,1,0.9593,,0.9924,,0.03309999999999991,,,,False,0.03309999999999991
ConvNeXt,Cifar100|epochs3_pretrain3,PGD,1,1,0.962,,0.9945,,0.032500000000000084,,,,False,0.032500000000000084
ConvNeXt,Cifar10_epochs100_pretrain300,FGSM,1,1,0.7058,,0.9242,,0.21840000000000004,,,,False,0.21840000000000004
ConvNeXt,Cifar10_epochs200_pretrain200,FGSM,1,1,0.6895,,0.9317,,0.24219999999999997,,,,False,0.24219999999999997
ConvNeXt,Cifar10_epochs300_pretrain100,FGSM,1,1,0.692,,0.9504,,0.2584000000000001,,,,False,0.2584000000000001
ConvNeXt,Cifar10_epochs3_pretrain3,FGSM,1,1,0.8212,,0.9086,,0.08739999999999992,,,,False,0.08739999999999992
ConvNeXt,Cifar10|epochs100_pretrain300,APGD,1,1,0.8749,,0.9916,,0.11670000000000003,,,,False,0.11670000000000003
ConvNeXt,Cifar10|epochs100_pretrain300,BIM,2,2,0.4539999999999999,0.0,0.9635,0.007071067811865481,0.5095000000000001,101.89999999999995,0.006247294768018491,,True,0.5095000000000001
ConvNeXt,Cifar10|epochs200_pretrain200,APGD,1,1,0.8568,,0.9927,,0.13590000000000002,,,,False,0.13590000000000002
ConvNeXt,Cifar10|epochs200_pretrain200,BIM,2,2,0.4341,0.0,0.95785,0.0072831998462214225,0.5237499999999999,101.69902912621382,0.006259639462529517,,True,0.5237499999999999
ConvNeXt,Cifar10|epochs300_pretrain100,APGD,1,1,0.8568,,0.9908,,0.134,,,,False,0.134
ConvNeXt,Cifar10|epochs300_pretrain100,BIM,2,2,0.4275,0.0,0.97315,0.0033234018715768,0.54565,232.19148936170026,0.0027417707602466227,,True,0.54565
ConvNeXt,Cifar10|epochs3_pretrain3,APGD,1,1,0.8809,,0.9869,,0.10599999999999998,,,,False,0.10599999999999998
ConvNeXt,Cifar10|epochs3_pretrain3,BIM,2,2,0.61495,7.071067811864696e-05,0.9415,0.004808326112068465,0.32655,94.65217391304476,0.006725636203703969,,True,0.32655
InceptionNet,Cifar100_epochs100_pretrain300,APGD,1,1,0.9611,,0.9418,,-0.019299999999999984,,,,False,0.019299999999999984
InceptionNet,Cifar100_epochs100_pretrain300,BIM,1,1,0.7007,,0.6402,,-0.0605,,,,False,0.0605
InceptionNet,Cifar100_epochs100_pretrain300,FGSM,1,1,0.8649,,0.8424,,-0.022499999999999964,,,,False,0.022499999999999964
InceptionNet,Cifar100_epochs100_pretrain300,PGD,1,1,0.9394,,0.9157,,-0.023700000000000054,,,,False,0.023700000000000054
InceptionNet,Cifar100_epochs200_pretrain200,APGD,1,1,0.9563,,0.9408,,-0.01550000000000007,,,,False,0.01550000000000007
InceptionNet,Cifar100_epochs200_pretrain200,BIM,2,1,0.67965,7.071067811864696e-05,0.6386000000000001,,-0.04104999999999992,,,,False,0.04104999999999992
InceptionNet,Cifar100_epochs200_pretrain200,FGSM,1,1,0.8557,,0.8435,,-0.012199999999999989,,,,False,0.012199999999999989
InceptionNet,Cifar100_epochs200_pretrain200,PGD,1,1,0.9313,,0.9125,,-0.01880000000000004,,,,False,0.01880000000000004
InceptionNet,Cifar100_epochs300_pretrain100,APGD,1,1,0.953,,0.9472,,-0.005799999999999916,,,,False,0.005799999999999916
InceptionNet,Cifar100_epochs300_pretrain100,BIM,1,1,0.6662,,0.6612,,-0.0050000000000000044,,,,False,0.0050000000000000044
InceptionNet,Cifar100_epochs300_pretrain100,FGSM,1,1,0.8582,,0.851,,-0.007199999999999984,,,,False,0.007199999999999984
InceptionNet,Cifar100_epochs300_pretrain100,PGD,1,1,0.9285,,0.9216,,-0.006900000000000017,,,,False,0.006900000000000017
InceptionNet,Cifar100_epochs3_pretrain3,APGD,1,1,0.9855,,0.9838,,-0.0017000000000000348,,,,False,0.0017000000000000348
InceptionNet,Cifar100_epochs3_pretrain3,BIM,1,1,0.8619,,0.8349,,-0.027000000000000024,,,,False,0.027000000000000024
InceptionNet,Cifar100_epochs3_pretrain3,FGSM,1,1,0.9506,,0.9517,,0.0010999999999999899,,,,False,0.0010999999999999899
InceptionNet,Cifar100_epochs3_pretrain3,PGD,1,1,0.9703,,0.9702,,-0.00010000000000010001,,,,False,0.00010000000000010001
InceptionNet,Cifar100|epochs100_pretrain300,CW,1,1,0.9964,,0.9851,,-0.011299999999999977,,,,False,0.011299999999999977
InceptionNet,Cifar100|epochs200_pretrain200,CW,1,1,0.9972,,0.9832,,-0.014000000000000012,,,,False,0.014000000000000012
InceptionNet,Cifar100|epochs300_pretrain100,CW,1,1,0.9982,,0.9921,,-0.006099999999999994,,,,False,0.006099999999999994
InceptionNet,Cifar100|epochs3_pretrain3,CW,1,1,0.9881,,0.9885,,0.00040000000000006697,,,,False,0.00040000000000006697
InceptionNet,Cifar10_epochs100_pretrain300,BIM,2,2,0.35655000000000003,0.00021213203435598016,0.32004999999999995,0.00021213203435601938,-0.03650000000000009,-1315051091192187.0,4.841026912425436e-16,,True,0.03650000000000009
InceptionNet,Cifar10_epochs100_pretrain300,FGSM,1,1,0.5968,,0.5848,,-0.01200000000000001,,,,False,0.01200000000000001
InceptionNet,Cifar10_epochs100_pretrain300,PGD,1,1,0.7736000000000001,,0.7469,,-0.026700000000000057,,,,False,0.026700000000000057
InceptionNet,Cifar10_epochs200_pretrain200,BIM,2,2,0.32835000000000003,7.071067811868621e-05,0.3266,0.00014142135623729392,-0.0017500000000000293,-35.00000000002331,0.01818418935128476,,True,0.0017500000000000293
InceptionNet,Cifar10_epochs200_pretrain200,FGSM,1,1,0.5886,,0.5912999999999999,,0.0026999999999999247,,,,False,0.0026999999999999247
InceptionNet,Cifar10_epochs200_pretrain200,PGD,1,1,0.7481,,0.7464,,-0.0017000000000000348,,,,False,0.0017000000000000348
InceptionNet,Cifar10_epochs300_pretrain100,BIM,2,2,0.32015,7.071067811864696e-05,0.35234999999999994,7.071067811872547e-05,0.03219999999999995,321.99999999985624,0.0019770736823385175,,True,0.03219999999999995
InceptionNet,Cifar10_epochs300_pretrain100,FGSM,1,1,0.5918,,0.5766,,-0.015199999999999991,,,,False,0.015199999999999991
InceptionNet,Cifar10_epochs300_pretrain100,PGD,1,1,0.7481,,0.7619,,0.013800000000000034,,,,False,0.013800000000000034
InceptionNet,Cifar10_epochs3_pretrain3,BIM,1,2,0.5789,,0.5555,0.00014142135623729392,-0.023399999999999976,,,,False,0.023399999999999976
InceptionNet,Cifar10_epochs3_pretrain3,FGSM,1,1,0.7843,,0.7341,,-0.05020000000000002,,,,False,0.05020000000000002
InceptionNet,Cifar10_epochs3_pretrain3,PGD,1,1,0.8726,,0.8445,,-0.028100000000000014,,,,False,0.028100000000000014
InceptionNet,Cifar10|epochs100_pretrain300,APGD,1,1,0.8446,,0.8207,,-0.023900000000000032,,,,False,0.023900000000000032
InceptionNet,Cifar10|epochs100_pretrain300,CW,1,1,0.9928,,0.9822,,-0.010600000000000054,,,,False,0.010600000000000054
InceptionNet,Cifar10|epochs100_pretrain300,DeepFool,1,1,0.8513,,0.8548,,0.0035000000000000586,,,,False,0.0035000000000000586
InceptionNet,Cifar10|epochs200_pretrain200,APGD,1,1,0.8234,,0.8197,,-0.0037000000000000366,,,,False,0.0037000000000000366
InceptionNet,Cifar10|epochs200_pretrain200,CW,1,1,0.9905,,0.9929,,0.0023999999999999577,,,,False,0.0023999999999999577
InceptionNet,Cifar10|epochs200_pretrain200,DeepFool,1,1,0.8558,,0.846,,-0.009800000000000031,,,,False,0.009800000000000031
InceptionNet,Cifar10|epochs300_pretrain100,APGD,1,1,0.8206,,0.8334,,0.012800000000000034,,,,False,0.012800000000000034
InceptionNet,Cifar10|epochs300_pretrain100,CW,1,1,0.9879,,0.993,,0.005099999999999993,,,,False,0.005099999999999993
InceptionNet,Cifar10|epochs300_pretrain100,DeepFool,1,1,0.8592,,0.8378,,-0.021399999999999975,,,,False,0.021399999999999975
InceptionNet,Cifar10|epochs3_pretrain3,APGD,1,1,0.9259,,0.9071,,-0.018799999999999928,,,,False,0.018799999999999928
InceptionNet,Cifar10|epochs3_pretrain3,CW,1,1,0.9689,,0.9653,,-0.0035999999999999366,,,,False,0.0035999999999999366
InceptionNet,Cifar10|epochs3_pretrain3,DeepFool,1,1,0.9166,,0.9013,,-0.01529999999999998,,,,False,0.01529999999999998
RegNetX_400MF,Cifar100_epochs100_pretrain300,APGD,1,1,0.9923,,0.9871,,-0.005199999999999982,,,,False,0.005199999999999982
RegNetX_400MF,Cifar100_epochs100_pretrain300,BIM,1,1,0.8484,,0.8065,,-0.04190000000000005,,,,False,0.04190000000000005
RegNetX_400MF,Cifar100_epochs100_pretrain300,FGSM,1,1,0.9486,,0.9269,,-0.021700000000000053,,,,False,0.021700000000000053
RegNetX_400MF,Cifar100_epochs100_pretrain300,PGD,1,1,0.9806,,0.9703,,-0.010299999999999976,,,,False,0.010299999999999976
RegNetX_400MF,Cifar100_epochs200_pretrain200,APGD,1,1,0.9883,,0.9832,,-0.005099999999999993,,,,False,0.005099999999999993
