model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
RegNetX_400MF,Cifar10,Finetuned,PGD,RegNetX_400MF (Finetuned),3997610,0.7868,0.1499,0.1499,0.21319999999999995,0.8501,0.8501,0.6369,0.8094814438230808,0.19051855617691915
RegNetX_400MF,Cifar10,Original,PGD,RegNetX_400MF (Original),4776362,0.7167,0.0829,0.0829,0.2833,0.9171,0.9171,0.6338,0.8843309613506349,0.11566903864936515
