model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
MobileNet,Cifar100_epochs3_pretrain3,Original,PGD,MobileNet (Original),3309476,0.1081,0.003,0.003,0.8919,0.997,0.997,0.1051,0.9722479185938945,0.02775208140610546
MobileNet,Cifar100_epochs200_pretrain200,Original,PGD,MobileNet (Original),3309476,0.4331,0.0395,0.0395,0.5669,0.9605,0.9605,0.3936,0.9087970445624568,0.0912029554375433
MobileNet,Cifar100_epochs300_pretrain100,Original,PGD,MobileNet (Original),3309476,0.4395,0.0421,0.0421,0.5605,0.9579,0.9579,0.3974,0.9042093287827075,0.09579067121729237
MobileNet,Cifar100_epochs100_pretrain300,Original,PGD,MobileNet (Original),3309476,0.4255,0.0298,0.0298,0.5745,0.9702,0.9702,0.3957,0.9299647473560517,0.0700352526439483
