source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9341,0.6425000000000001,0.5304,0.5331,0.6511,0.6532,0.7143999999999999,0.4907,0.4759,0.4851999999999999,0.5023
ConvNeXt (Original),0.9338,0.7058,0.5426,0.5426,0.6599999999999999,0.6622,0.7223999999999999,0.5005,0.4881,0.5004,0.5122
InceptionNet (Finetuned),0.9341,0.653,0.5849,0.5627,0.6642,0.6645,0.7229,0.5198,0.5079,0.5125,0.5267999999999999
InceptionNet (Original),0.934,0.6506000000000001,0.5607,0.5968,0.6611,0.6646000000000001,0.7219,0.5157,0.5041,0.512,0.527
MobileNet (Original),0.9341,0.6472,0.5418000000000001,0.5409999999999999,0.7011000000000001,0.6662,0.7283,0.5023,0.4901999999999999,0.5016,0.5212
RegNetX_400MF (Finetuned),0.9342,0.651,0.5433,0.5449999999999999,0.6668000000000001,0.6942999999999999,0.7368,0.5111,0.497,0.5058,0.5253
RegNetX_400MF (Original),0.9344,0.6482,0.5349999999999999,0.5395,0.6667000000000001,0.6738,0.7662,0.4998,0.4854,0.4967,0.5194
VGG16 (Finetuned),0.9345,0.6455,0.5399,0.54,0.6561,0.6578999999999999,0.718,0.6061000000000001,0.5262,0.497,0.5147999999999999
VGG16 (Original),0.9345,0.6441,0.5388999999999999,0.5378000000000001,0.656,0.6568,0.7171000000000001,0.5318,0.5538000000000001,0.4961,0.5132
XceptionNet (Finetuned),0.9339,0.6477999999999999,0.5483,0.5499,0.663,0.6656,0.7246,0.5195000000000001,0.5071,0.5568,0.5452
XceptionNet (Original),0.9342,0.6484,0.5459,0.5470999999999999,0.6655,0.6649,0.7251000000000001,0.5151,0.5019,0.5246999999999999,0.596
