source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9894,0.8864,0.8236,0.8399,0.8972,0.9155,0.9355,0.7776000000000001,0.8582,0.7987,0.8033
ConvNeXt (Original),0.9898,0.9522,0.8261000000000001,0.8434,0.8976,0.9167,0.9374,0.7778,0.859,0.8023,0.8055
InceptionNet (Finetuned),0.9892,0.8886000000000001,0.9153,0.8637,0.9023,0.918,0.9377,0.7923,0.8666,0.8155,0.8195
InceptionNet (Original),0.9895,0.887,0.8389,0.9402,0.9004,0.9165,0.9363,0.7905,0.8678,0.8105,0.8143
MobileNet (Original),0.9892,0.8869,0.8263,0.8428,0.9709,0.9193,0.9388,0.784,0.863,0.8056,0.8147
RegNetX_400MF (Finetuned),0.9888,0.8872,0.8259,0.8426,0.9026,0.9702,0.9456,0.7819,0.8604,0.8059000000000001,0.8126
RegNetX_400MF (Original),0.9887,0.8876,0.8227,0.8412,0.9013,0.9285,0.9806,0.7806,0.8587,0.8035,0.8089999999999999
VGG16 (Finetuned),0.9889,0.8855,0.8248,0.8438,0.8984,0.9166,0.9366,0.9573,0.8864,0.8044,0.8089
VGG16 (Original),0.9888,0.886,0.8268,0.8454,0.8994,0.9155,0.9367,0.8229,0.9702,0.8033,0.8098
XceptionNet (Finetuned),0.9888,0.8871,0.8358,0.8533999999999999,0.9045,0.9193,0.9381,0.795,0.8667,0.9135,0.8396
XceptionNet (Original),0.9888,0.8873,0.8327,0.8519,0.9051,0.92,0.9392,0.7962,0.8671,0.8331999999999999,0.9278
