model,dataset,kind,model_label,param_count,flops,latency_ms,throughput_imgs_s,peak_memory_mb,robust_accuracy,attack_success_rate,transfer_success_rate,transfer_resistance,explainability_delta_asr,explainability_shap_cosine_similarity,explainability_shap_pearson_r,explainability_shap_spearman_r,explainability_shap_topk_jaccard,explainability_shap_l1_mean_abs_diff,explainability_shap_l2_distance,explainability_shap_pair_count,robustness_per_flop,transfer_resistance_per_latency
RegNetX_400MF,Cifar100_epochs200_pretrain200,Finetuned,RegNetX_400MF (Finetuned),4032260,,5.676102847792208,45101.36741084148,6269.27587890625,0.10553333333333333,0.8944666666666666,,,-0.0188999999999999,,,,,,,,,
RegNetX_400MF,Cifar100_epochs300_pretrain100,Original,RegNetX_400MF (Original),4811012,,5.561407236382365,46031.51488804212,6269.27587890625,0.09493333333333333,0.9050666666666666,,,-0.0060666666666666,,,,,,,,,
RegNetX_400MF,Cifar100_epochs100_pretrain300,Original,RegNetX_400MF (Original),4811012,,5.24758780375123,48784.31949571169,6269.27587890625,0.07426666666666666,0.9257333333333334,,,-0.0243,,,,,,,,,
RegNetX_400MF,Cifar100_epochs3_pretrain3,Original,RegNetX_400MF (Original),4811012,,5.968054896220565,42895.04779222441,6269.27587890625,0.012499999999999999,0.9874999999999999,,,-0.0109999999999999,,,,,,,,,
RegNetX_400MF,Cifar100_epochs200_pretrain200,Original,RegNetX_400MF (Original),4811012,,7.060194690711796,36259.62331276597,6269.27587890625,0.08663333333333334,0.9133666666666667,,,-0.0188999999999999,,,,,,,,,
RegNetX_400MF,tinyimagenet_epochs300_pretrain100,Finetuned,RegNetX_400MF (Finetuned),3493224,,10.935987695120275,23408.95099161727,6575.37353515625,,,,,,,,,,,,,,
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Finetuned,RegNetX_400MF (Finetuned),3624552,,12.385229649953544,20669.78225155157,6575.37353515625,,,,,,,,,,,,,,
RegNetX_400MF,tinyimagenet_epochs200_pretrain200,Finetuned,RegNetX_400MF (Finetuned),3624552,,12.250647647306323,20896.85438437121,6575.37353515625,,,,,,,,,,,,,,
RegNetX_400MF,tinyimagenet_epochs3_pretrain3,Finetuned,RegNetX_400MF (Finetuned),4093800,,13.33812396042049,19193.10397471591,6575.37353515625,,,,,,,,,,,,,,
RegNetX_400MF,tinyimagenet_epochs300_pretrain100,Original,RegNetX_400MF (Original),4849512,,10.368690453469753,24689.71382151087,6575.37353515625,,,,,,,,,,,,,,
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Original,RegNetX_400MF (Original),4849512,,9.709009807556868,26367.261448304038,6575.37353515625,,,,,,,,,,,,,,
RegNetX_400MF,tinyimagenet_epochs200_pretrain200,Original,RegNetX_400MF (Original),4849512,,10.381827550008893,24658.471619457858,6575.37353515625,,,,,,,,,,,,,,
RegNetX_400MF,tinyimagenet_epochs3_pretrain3,Original,RegNetX_400MF (Original),4849512,,10.35964961629361,24711.260465543583,6575.37353515625,,,,,,,,,,,,,,
