model,dataset,kind,param_count,flops,latency_ms,throughput_imgs_s,peak_memory_mb,robust_accuracy,attack_success_rate,transfer_success_rate,explainability_delta_asr,robustness_per_flop,transfer_resistance_per_latency
VGG16,Cifar10_epochs200_pretrain200,Control_Continuted,33663050,,12.464792816899717,20537.84637743166,2196.86669921875,0.012,0.988,,,,
VGG16,Cifar100_epochs200_pretrain200,Control_Continuted,34031780,,12.870047404430807,19891.14662560343,2196.95458984375,,,,,,
VGG16,tinyimagenet_epochs200_pretrain200,Control_Continuted,40732936,,44.70747334416956,5726.112008818896,3007.05224609375,,,,,,
RegNetX_400MF,Cifar10_epochs200_pretrain200,Control_Continuted,4776362,,8.247834397479892,31038.45053899485,2028.7255859375,,,,,,
RegNetX_400MF,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined,3997610,,8.457901701331139,30267.554417156407,1873.853515625,,,,,,
RegNetX_400MF,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,3997610,,8.212790614925325,31170.89087048735,1873.853515625,,,,,,
RegNetX_400MF,Cifar100_epochs200_pretrain200,Control_Continuted,4811012,,7.966254046186805,32135.555621972555,1873.94140625,,,,,,
RegNetX_400MF,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined,4032260,,8.183563500642776,31282.21586841631,1873.94140625,,,,,,
RegNetX_400MF,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,4032260,,8.311779145151377,30799.663408926834,1873.94140625,,,,,,
RegNetX_400MF,tinyimagenet_epochs200_pretrain200,Control_Continuted,4849512,,11.676586931571364,21924.214798403344,2180.0390625,,,,,,
RegNetX_400MF,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined,3624552,,14.236934506334364,17981.399007356482,2180.0390625,,,,,,
RegNetX_400MF,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,3624552,,14.23705704510212,17981.244240927586,2180.0390625,,,,,,
InceptionNet,Cifar10_epochs200_pretrain200,Control_Continuted,5991082,,8.805980253964663,29071.153081991375,1881.853515625,,,,,,
InceptionNet,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined,4049962,,9.128182101994753,28045.01456473542,1881.853515625,,,,,,
InceptionNet,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,4049962,,9.114174614660442,28088.11667797277,1881.853515625,,,,,,
InceptionNet,Cifar100_epochs200_pretrain200,Control_Continuted,6083332,,8.865105081349611,28877.266276129343,1881.94140625,,,,,,
InceptionNet,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined,3638308,,8.366458443924785,30598.37106893081,1881.94140625,,,,,,
InceptionNet,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,3638308,,8.395334449596703,30493.12705014364,1881.94140625,,,,,,
InceptionNet,tinyimagenet_epochs200_pretrain200,Control_Continuted,6185832,,11.825683037750423,21647.798201827874,2212.0390625,,,,,,
InceptionNet,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined,4244712,,13.60628658439964,18814.83227712682,2212.0390625,,,,,,
InceptionNet,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,4244712,,13.574704807251692,18858.60529823405,2212.0390625,,,,,,
MobileNet,Cifar100_epochs200_pretrain200,Control_Continuted,3309476,,4.755209945142269,53835.688214254194,1897.94140625,0.0172,0.9828,,,,
XceptionNet,Cifar10_epochs200_pretrain200,Control_Continuted,20827442,,33.723176596686244,7591.218438928302,1969.853515625,,,,,,
XceptionNet,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined,13839874,,33.56710479129106,7626.514159970653,1969.853515625,,,,,,
XceptionNet,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,13839874,,33.60502915456891,7617.9073918522245,1969.853515625,,,,,,
XceptionNet,Cifar100_epochs200_pretrain200,Control_Continuted,21011852,,34.98487144242972,7317.448641229611,1969.94140625,0.3444,0.6556,,,,
XceptionNet,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined,13481196,,33.547807298600674,7630.901111402238,1969.94140625,0.3477,0.6523,,,,
XceptionNet,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,13481196,,33.573392033576965,7625.085953304115,1969.94140625,0.3506,0.6494,,,,
XceptionNet,tinyimagenet_epochs200_pretrain200,Control_Continuted,21216752,,40.057206340134144,6390.860057145531,2564.0390625,0.0014,0.9985999999999999,,,,
XceptionNet,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined,15791560,,45.16286675352603,5668.373564439709,2564.0390625,0.0019000000000000002,0.9981,,,,
XceptionNet,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,15791560,,45.1131860492751,5674.615836717512,2564.0390625,0.0021999999999999997,0.9978,,,,
ConvNeXt,Cifar10_epochs200_pretrain200,Control_Continuted,27827818,,9.116458939388394,28081.07859663925,1909.853515625,,,,,,
ConvNeXt,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined,2482666,,5.005511152558029,51143.627932818235,1909.853515625,,,,,,
ConvNeXt,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,2482666,,4.756645509041846,53819.440509782136,1909.853515625,,,,,,
ConvNeXt,Cifar100_epochs200_pretrain200,Control_Continuted,27897028,,9.803515463136137,26113.0816759181,1909.94140625,,,,,,
ConvNeXt,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined,2551876,,5.259426007978618,48674.513076454474,1909.94140625,,,,,,
ConvNeXt,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,2551876,,5.383981601335108,47548.45371992313,1909.94140625,,,,,,
ConvNeXt,tinyimagenet_epochs200_pretrain200,Control_Continuted,27973928,,37.70892589818686,6788.843593455657,2324.0390625,0.0138,0.9862,,,,
ConvNeXt,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined,843176,,15.60601748060435,16403.92882541397,2324.0390625,0.0024,0.9976,,,,
ConvNeXt,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,843176,,15.679712966084482,16326.829486849212,2324.0390625,0.0053,0.9947,,,,
