source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9342,0.6434,0.5302,0.5293,0.6509,0.6542,0.7139,0.4901999999999999,0.4759,0.4838,0.4977
ConvNeXt (Original),0.9346,0.8162,0.5452,0.5452,0.6626000000000001,0.6681,0.7254,0.4966,0.4851,0.5012,0.5141
InceptionNet (Finetuned),0.9346,0.6537999999999999,0.7468,0.5795,0.6671,0.6703,0.7261,0.5172,0.5089,0.5184,0.5318
InceptionNet (Original),0.9342,0.6538999999999999,0.5709,0.7726,0.6663,0.6678,0.7236,0.5151,0.5043,0.5152,0.5304
MobileNet (Original),0.9345,0.6495,0.54,0.5421,0.8911,0.6716,0.7388,0.4961,0.4864,0.5016,0.5214
RegNetX_400MF (Finetuned),0.934,0.6541,0.5450999999999999,0.5467,0.6789000000000001,0.8493999999999999,0.7592,0.5073,0.4962999999999999,0.5091,0.5318
RegNetX_400MF (Original),0.9343,0.6482,0.5367999999999999,0.5378000000000001,0.6720999999999999,0.6867,0.9174,0.4952999999999999,0.4849,0.4966,0.5172
VGG16 (Finetuned),0.9341,0.6448,0.5409999999999999,0.5414,0.6577999999999999,0.6603,0.7202,0.8966,0.5582,0.4998,0.5166
VGG16 (Original),0.9343,0.6464,0.5463,0.5479,0.6583,0.6628000000000001,0.7218,0.6105,0.8168,0.5118,0.5277000000000001
XceptionNet (Finetuned),0.9339,0.6512,0.5574,0.5589999999999999,0.6694,0.6738999999999999,0.7304999999999999,0.5219,0.5199,0.7613,0.5715
XceptionNet (Original),0.9345,0.6508,0.5506,0.552,0.6714,0.6733,0.7322,0.5132,0.5104,0.5448,0.8099000000000001
