model,dataset,original_clean_acc,original_robust_accuracy_mean,original_attack_success_rate_mean,original_param_count,collapsed_clean_acc,collapsed_robust_accuracy_mean,collapsed_attack_success_rate_mean,collapsed_param_count,collapsed_minus_original_clean_acc,params_reduction_percent
ConvNeXt,Cifar100_epochs200_pretrain200,0.4159,0.0446,0.9554,27897028.0,0.0094,0.0003,0.9997,2551876.0,-0.4065,90.85251661933307
InceptionNet,Cifar10_epochs200_pretrain200,0.86,0.1723,0.8277,5991082.0,0.8575,0.186,0.8140000000000001,4049962.0,-0.0024999999999999467,32.4001574339994
MobileNet,Cifar100_epochs200_pretrain200,0.4331,0.036,0.964,3309476.0,,,,,,
MobileNet,Cifar10_epochs200_pretrain200,0.8014,0.165,0.835,3217226.0,,,,,,
RegNetX_400MF,Cifar10_epochs200_pretrain200,0.733,0.1096,0.8904,4776362.0,0.769,0.1209,0.8791,3997610.0,0.03600000000000003,16.30429184387615
RegNetX_400MF,tinyimagenet_epochs200_pretrain200,0.0041,0.0011,0.9989,4849512.0,0.0039,0.0002,0.9998,3624552.0,-0.00020000000000000052,25.25944878577473
VGG16,Cifar100_epochs200_pretrain200,0.6072,0.0649,0.9351,34031780.0,,,,,,
VGG16,tinyimagenet_epochs200_pretrain200,0.004,0.0019,0.9981,40732936.0,,,,,,
XceptionNet,Cifar100_epochs200_pretrain200,0.5975,0.0804,0.9196,21011852.0,0.6004,0.0847,0.9153,13481196.0,0.0029000000000000137,35.840039231192
XceptionNet,Cifar10_epochs200_pretrain200,0.8806,0.2272,0.7727999999999999,20827442.0,0.8846,0.2495,0.7505,13839874.0,0.0040000000000000036,33.549813750531634
XceptionNet,tinyimagenet_epochs200_pretrain200,0.0038,0.0008,0.9992,21216752.0,0.0052,0.0011,0.9989,15791560.0,0.0013999999999999998,25.570322922189035
