model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
ConvNeXt,Cifar10_epochs200_pretrain200,Control_Continuted,PGD,ConvNeXt (Control Continued),27827818,0.7535,0.1977,0.1977,0.24650000000000005,0.8023,0.8023,0.5558,0.7376244193762442,0.2623755806237558
ConvNeXt,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined,PGD,ConvNeXt (Pruned Finetuned),2482666,0.1027,0.078,0.078,0.8973,0.922,0.922,0.0247,0.24050632911392406,0.759493670886076
ConvNeXt,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,PGD,ConvNeXt (Pruned Finetuned Quantized),2482666,0.1209,0.0422,0.0422,0.8791,0.9578,0.9578,0.07869999999999999,0.650951199338296,0.3490488006617039
