source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9876,0.5901000000000001,0.4294,0.4552,0.5772999999999999,0.6037,0.6497999999999999,0.3257,0.4549999999999999,0.4021,0.4129
ConvNeXt (Original),0.9849,0.9714,0.6566000000000001,0.6813,0.7938000000000001,0.8223,0.8589,0.5464,0.6747000000000001,0.6211,0.6288
InceptionNet (Finetuned),0.9849,0.8285,0.9417,0.7977,0.8436,0.858,0.8787,0.6533,0.7646999999999999,0.735,0.741
InceptionNet (Original),0.9853,0.8266,0.7608,0.961,0.8401000000000001,0.857,0.8779,0.6436,0.765,0.7128,0.7252000000000001
MobileNet (Original),0.9852,0.8041,0.6728000000000001,0.7029000000000001,0.986,0.8524,0.8796,0.5677,0.6982999999999999,0.6389,0.6585
RegNetX_400MF (Finetuned),0.9849,0.7964,0.6586000000000001,0.6841999999999999,0.8142,0.987,0.8892,0.5472,0.6805,0.6275999999999999,0.6401
RegNetX_400MF (Original),0.9854,0.7862,0.6308,0.657,0.7926,0.8388,0.9918,0.5176000000000001,0.6525000000000001,0.5959,0.6105
VGG16 (Finetuned),0.9842,0.8449,0.7776000000000001,0.7977,0.8603000000000001,0.8792,0.896,0.976,0.8476,0.752,0.7615000000000001
VGG16 (Original),0.9857,0.8170999999999999,0.7209,0.7512,0.8301000000000001,0.8486,0.8714,0.6836,0.9833,0.6920999999999999,0.6997
XceptionNet (Finetuned),0.9855,0.8346,0.7737,0.7871,0.8499,0.8645,0.8819,0.6719999999999999,0.7797000000000001,0.9407,0.7833
XceptionNet (Original),0.9855,0.8325,0.7696000000000001,0.7903,0.858,0.8737,0.8895,0.6706,0.7784,0.7706999999999999,0.957
