model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
XceptionNet,Cifar10_epochs200_pretrain200,Control_Continuted,PGD,XceptionNet (Control Continued),20827442,0.8835,0.2154,0.2154,0.1165,0.7846,0.7846,0.6680999999999999,0.7561969439728352,0.2438030560271647
XceptionNet,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined,PGD,XceptionNet (Pruned Finetuned),13839874,0.8845,0.2312,0.2312,0.1155,0.7688,0.7688,0.6533,0.7386093838326738,0.2613906161673262
XceptionNet,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,PGD,XceptionNet (Pruned Finetuned Quantized),13839874,0.8804,0.2113,0.2113,0.1196,0.7887,0.7887,0.6691,0.7599954566106316,0.2400045433893684
ConvNeXt,Cifar10_epochs200_pretrain200,Control_Continuted,BIM,ConvNeXt (Control Continued),27827818,0.7534,0.5659,0.5659,0.2466,0.4341,0.4341,0.1875,0.2488717812582957,0.7511282187417042
ConvNeXt,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined,BIM,ConvNeXt (Pruned Finetuned),2482666,0.0777,0.0334,0.0334,0.9223,0.9666,0.9666,0.0443,0.5701415701415702,0.4298584298584298
ConvNeXt,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,BIM,ConvNeXt (Pruned Finetuned Quantized),2482666,0.095,0.0423,0.0423,0.905,0.9577,0.9577,0.0527,0.5547368421052632,0.4452631578947368
RegNetX_400MF,Cifar100_epochs200_pretrain200,Control_Continuted,APGD,RegNetX_400MF (Control Continued),4811012,0.3673,0.0144,0.0144,0.6327,0.9856,0.9856,0.3529,0.9607949904710046,0.0392050095289953
RegNetX_400MF,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined,APGD,RegNetX_400MF (Pruned Finetuned),4032260,0.3999,0.0168,0.0168,0.6001000000000001,0.9832,0.9832,0.3831,0.9579894973743436,0.0420105026256564
RegNetX_400MF,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,APGD,RegNetX_400MF (Pruned Finetuned Quantized),4032260,0.3499,0.011,0.011,0.6501,0.989,0.989,0.3389,0.968562446413261,0.031437553586739
XceptionNet,Cifar100_epochs200_pretrain200,Control_Continuted,BIM,XceptionNet (Control Continued),21011852,0.5944,0.3444,0.3444,0.4055999999999999,0.6556,0.6556,0.25,0.4205921938088829,0.579407806191117
XceptionNet,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined,BIM,XceptionNet (Pruned Finetuned),13481196,0.6003,0.3477,0.3477,0.3997,0.6523,0.6523,0.2525999999999999,0.4207896051974012,0.5792103948025987
XceptionNet,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,BIM,XceptionNet (Pruned Finetuned Quantized),13481196,0.5947,0.3506,0.3506,0.4053,0.6494,0.6494,0.2440999999999999,0.410459054985707,0.589540945014293
ConvNeXt,Cifar100_epochs200_pretrain200,Control_Continuted,APGD,ConvNeXt (Control Continued),27897028,0.416,0.0286,0.0286,0.5840000000000001,0.9714,0.9714,0.3873999999999999,0.93125,0.06875
ConvNeXt,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined,APGD,ConvNeXt (Pruned Finetuned),2551876,0.011,0.0025,0.0025,0.989,0.9975,0.9975,0.0084999999999999,0.7727272727272727,0.2272727272727273
ConvNeXt,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,APGD,ConvNeXt (Pruned Finetuned Quantized),2551876,0.0107,0.0008,0.0008,0.9893,0.9992,0.9992,0.0098999999999999,0.9252336448598132,0.0747663551401869
ConvNeXt,tinyimagenet_epochs200_pretrain200,Control_Continuted,PGD,ConvNeXt (Control Continued),27973928,0.0055,0.0019,0.0019,0.9945,0.9981,0.9981,0.0036,0.6545454545454545,0.3454545454545454
ConvNeXt,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined,PGD,ConvNeXt (Pruned Finetuned),843176,0.0039,0.0006,0.0006,0.9961,0.9994,0.9994,0.0033,0.8461538461538461,0.1538461538461538
