source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9888,0.8844,0.8205,0.8384,0.8953,0.9133,0.9349,0.7732,0.8571,0.7966,0.8006
ConvNeXt (Original),0.9889,0.9826,0.8205,0.839,0.8965,0.9138,0.9347,0.7737,0.8567,0.7968999999999999,0.8007
InceptionNet (Finetuned),0.9889,0.8814,0.985,0.8423,0.8936999999999999,0.9098,0.9308,0.7733,0.8559,0.7981,0.8032
InceptionNet (Original),0.9888,0.8848,0.8251999999999999,0.9965,0.8967,0.9142,0.9347,0.7764,0.8599,0.7992,0.8042
MobileNet (Original),0.9889,0.8853,0.8216,0.8386,0.999,0.9147,0.9359,0.7745,0.8581,0.7969999999999999,0.8014
RegNetX_400MF (Finetuned),0.9888,0.8849,0.821,0.8392999999999999,0.8966,0.9987,0.9383,0.7739,0.8586,0.7974,0.8018000000000001
RegNetX_400MF (Original),0.9888,0.8848,0.821,0.8382000000000001,0.8965,0.9164,0.9993,0.7744,0.8573,0.7968,0.8014
VGG16 (Finetuned),0.9887,0.8844,0.8207,0.8392,0.896,0.9133,0.9345,0.9981,0.8656,0.7974,0.8012
VGG16 (Original),0.9888,0.885,0.821,0.8394,0.8959,0.9138,0.9346,0.7791,0.9996,0.7977,0.8021
XceptionNet (Finetuned),0.9889,0.8845,0.8235,0.8424,0.9003,0.9158,0.935,0.7781,0.8621,0.9948,0.8144
XceptionNet (Original),0.989,0.8769,0.8152,0.8341000000000001,0.8912,0.9072,0.9275,0.7706999999999999,0.8527,0.8003,0.9823
