source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9022,0.2724999999999999,0.1538,0.1676999999999999,0.2442999999999999,0.2427,0.3231,0.1021999999999999,0.0994,0.1289,0.1422
ConvNeXt (Original),0.9029,0.4539999999999999,0.1622,0.1765999999999999,0.256,0.2554999999999999,0.3344,0.1060999999999999,0.1031999999999999,0.1363999999999999,0.1501
InceptionNet (Finetuned),0.902,0.2823,0.3198999999999999,0.1954,0.2579,0.2576,0.3325,0.1168,0.1149,0.1448,0.16
InceptionNet (Original),0.9023,0.2822,0.1812,0.3564,0.2601,0.256,0.3304,0.1135,0.1122999999999999,0.1445999999999999,0.1583
MobileNet (Original),0.9024,0.2786999999999999,0.1596999999999999,0.1745,0.5366,0.2587,0.3414,0.1051999999999999,0.1050999999999999,0.1381,0.1541
RegNetX_400MF (Finetuned),0.9032,0.2831,0.1636999999999999,0.1762,0.2673,0.4609,0.3641,0.1105,0.1088,0.1414999999999999,0.1591
RegNetX_400MF (Original),0.9018,0.2778,0.157,0.1705999999999999,0.2633,0.2708,0.6175999999999999,0.1057,0.1031999999999999,0.1369,0.1529
VGG16 (Finetuned),0.9024,0.2752,0.1605999999999999,0.1731,0.2503999999999999,0.2496,0.3264,0.4789,0.1437,0.138,0.1503
VGG16 (Original),0.9019,0.2759,0.1653,0.1772,0.2517,0.2526,0.3264,0.173,0.3481999999999999,0.1432,0.1583
XceptionNet (Finetuned),0.9023,0.2798,0.17,0.1817999999999999,0.2628,0.2613999999999999,0.3380999999999999,0.1163999999999999,0.1186,0.3217,0.1844
XceptionNet (Original),0.9037,0.2799,0.1663,0.1788999999999999,0.2627,0.2617,0.3391999999999999,0.1150999999999999,0.1151999999999999,0.1583,0.3891
