Experiment,Block Redundancy
Original Model,-0.016420019790530205
Stage 7,0.0
Stage 6,0.0
Stage 5,0.0
Stage 4,0.0
Stage 3,0.0
Stage 2,0.0
Stage 1,0.0
Block 7 Only,0.0
Block 6 Only,0.0
Block 5 Only,0.02943512424826622
Block 4 Only,0.0
Block 3 Only,-0.0030811475589871407
Block 2 Only,0.0
Block 1 Only,0.0
Stage 5-7,0.0
Stage 4-7,0.0
Stage 6-7,0.0
Stage 3-7,0.0
Stage 2-7,0.0
Stage 1-7,0.0
Last 2,0.0
