Experiment,Relative Sensitivity
Original Model,1.0
Last 2,0.7063048644422757
Stage 4 (Full),0.9809524814663401
Stage 3 (Full),0.8853873175981006
Stage 2 (Full),1.360386964139815
Stage 1 (Full),1.0261875750352114
Stage 3 Block 0 Only,1.7420298143557431
Stage 3 Block 1 Only,0.8440126854685234
Stage 3 Block 2 Only,0.8261790223403558
Stage 3 Block 3 Only,0.8853873175981006
Stage 4 Block 0 Only,1.7884983279929603
Stage 4 Block 1 Only,1.216151291297618
Stage 4 Block 2 Only,1.0237724095042244
Stage 4 Block 3 Only,0.9619049629326802
Stage 4 Block 4 Only,0.7615845704207388
Stage 4 Block 5 Only,0.7001840870491092
Stage 4 Block 6 Only,0.9340463765149173
Stage 1 Block 0 Only,1.0261875750352114
Stage 3-4,0.9168215079466383
Stage 2-4,0.9254339422307778
Stage 1-4,0.9340463765149173
Stage 1 first 2 conv,0.8938405960879834
Stage 2 first 2 conv,0.9910345554759251
Stage 3 first 2 conv,1.3435457222686087
Stage 4 first 2 conv,1.7884983279929603
Stage 1 last 2 conv,0.9205841958545218
Stage 2 last 2 conv,1.3651941461732215
Stage 3 last 2 conv,0.8950733191963295
Stage 4 last 2 conv,0.7063048644422757
