Experiment,Median Variance
Original Model,0.741419792175293
Stage 4 (Full),0.8779293894767761
Stage 3 (Full),0.7888188362121582
Stage 2 (Full),0.21475007385015488
Stage 1 (Full),0.3579365238547325
Stage 3 Block 1 Only,0.07170084118843079
Stage 3 Block 2 Only,0.02845291793346405
Stage 3 Block 3 Only,0.3221260905265808
Stage 1 Block 1 Only,0.21788077056407928
Stage 3 Inner (Block 2),0.02845291793346405
