layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops,collapse_score
stem.stem_conv,Conv2d,0.0,4.90835557084288,0.10744232601589626,0.32491010427474976,113246208,0.722592294216156
stage1.stage1_block0.block.conv1,Conv2d,0.0,3.4282127288578903,0.09367938836415608,0.30140021443367004,100663296,0.7397816181182861
stage1.stage1_block0.block.conv2,Conv2d,-0.09879335761070251,26.977771001677084,0.05287428844122239,0.7453686594963074,679477248,0.47455930709838867
stage1.stage1_block0.block.conv3,Conv2d,-0.15177035331726074,2.9997253669402824,0.11173248291015625,0.27039390802383423,75497472,0.7630788683891296
stage1.stage1_block0.shortcut.shortcut_conv,Conv2d,0.0,3.4282127288578903,0.0992475946744283,0.24440281093120575,100663296,0.7831721305847168
stage2.stage2_block0.block.conv1,Conv2d,0.0,4.199461738912859,0.1132050355275472,0.40652164816856384,176160768,0.6659626960754395
stage2.stage2_block0.block.conv2,Conv2d,0.0,25.122718200847004,0.04726632219863857,2.7937324047088623,924844032,0.06119239330291748
stage2.stage2_block0.block.conv3,Conv2d,0.04489261656999588,6.9940236614221245,0.08171885354178292,0.29167041182518005,102760448,0.7470147013664246
stage2.stage2_block0.shortcut.shortcut_conv,Conv2d,0.0,2.209929989080866,0.10815897442045666,0.5144802927970886,44040192,0.597811222076416
stage3.stage3_block0.block.conv1,Conv2d,0.0,10.218008234157686,0.08355559442276345,0.7747405171394348,278921216,0.46082332730293274
stage3.stage3_block0.block.conv2,Conv2d,0.0,66.18937818937819,0.04305952781895631,11.214139938354492,1703411712,1.3482203939929605e-05
stage3.stage3_block0.block.conv3,Conv2d,0.04602667689323425,18.825350749879053,0.06363931587198104,0.5761116743087769,189267968,0.562079668045044
stage3.stage3_block0.shortcut.shortcut_conv,Conv2d,0.0,5.643977538799445,0.08163477245130037,1.0734895467758179,69730304,0.3418136537075043
stage3.stage3_block1.block.conv1,Conv2d,-0.20085984468460083,18.825350749879053,0.06237460635705668,2.3546974658966064,189267968,0.09492222219705582
stage3.stage3_block1.block.conv2,Conv2d,-0.12233254313468933,157.82244254168543,0.0443693368241911,5.761134147644043,1703411712,0.003147539682686329
stage3.stage3_block1.block.conv3,Conv2d,0.05202247574925423,18.825350749879053,0.0645605441275726,0.4746570587158203,189267968,0.6220983862876892
stage3.stage3_block2.block.conv1,Conv2d,-0.047098103910684586,18.825350749879053,0.06491104717730155,2.9133212566375732,189267968,0.05429510399699211
stage3.stage3_block2.block.conv2,Conv2d,-0.04673154652118683,157.82244254168543,0.04701201443893794,5.120224475860596,1703411712,0.005974681582301855
stage3.stage3_block2.block.conv3,Conv2d,-0.03101923316717148,18.825350749879053,0.06595502203521306,0.5146965980529785,189267968,0.5976818799972534
stage3.stage3_block3.block.conv1,Conv2d,-0.06297531723976135,18.825350749879053,0.06599924504922038,3.438387155532837,189267968,0.032116442918777466
stage3.stage3_block3.block.conv2,Conv2d,-0.12143981456756592,157.82244254168543,0.048855016913256964,5.262959003448486,1703411712,0.005179954692721367
stage3.stage3_block3.block.conv3,Conv2d,-0.103385329246521,18.825350749879053,0.06699988980702747,0.47621244192123413,189267968,0.6211315393447876
stage4.stage4_block0.block.conv1,Conv2d,0.0,26.543761307352373,0.06856012235244296,3.3917675018310547,458227712,0.033649150282144547
stage4.stage4_block0.block.conv2,Conv2d,0.0,125.12868949232586,0.04987434718919837,13.00179386138916,2496135168,2.256278321510763e-06
stage4.stage4_block0.block.conv3,Conv2d,-0.04528055340051651,42.2078853046595,0.06047873686301911,0.8616237044334412,277348352,0.42247554659843445
stage4.stage4_block0.shortcut.shortcut_conv,Conv2d,0.0,13.937830935027721,0.06600603849991508,3.700136423110962,114556928,0.02472015470266342
stage4.stage4_block1.block.conv1,Conv2d,-0.23398663103580475,42.2078853046595,0.06145578972107972,7.396800518035889,277348352,0.0006132115959189832
stage4.stage4_block1.block.conv2,Conv2d,-0.1566559374332428,228.90712742980563,0.052692220231560796,4.386786937713623,2496135168,0.012440637685358524
stage4.stage4_block1.block.conv3,Conv2d,-0.03069414012134075,42.2078853046595,0.061114918757476516,0.46465811133384705,277348352,0.6283499002456665
stage4.stage4_block2.block.conv1,Conv2d,-0.23638418316841125,42.2078853046595,0.06453107750934103,8.02169418334961,277348352,0.00032826341339387
stage4.stage4_block2.block.conv2,Conv2d,-0.13785730302333832,228.90712742980563,0.05479295582762287,2.8486900329589844,2496135168,0.05792014300823212
stage4.stage4_block2.block.conv3,Conv2d,-0.0753854364156723,42.2078853046595,0.061554344480114306,0.38133764266967773,277348352,0.6829472780227661
stage4.stage4_block3.block.conv1,Conv2d,-0.12831223011016846,42.2078853046595,0.06524897613236945,8.914468765258789,277348352,0.00013442974886856973
stage4.stage4_block3.block.conv2,Conv2d,-0.12741149961948395,228.90712742980563,0.05305191549626851,2.625880479812622,2496135168,0.07237600535154343
stage4.stage4_block3.block.conv3,Conv2d,-0.05713222548365593,42.2078853046595,0.060832847494258775,0.48075219988822937,277348352,0.6183181405067444
stage4.stage4_block4.block.conv1,Conv2d,-0.07185152173042297,42.2078853046595,0.06430528925587414,9.085511207580566,277348352,0.00011329548578942195
stage4.stage4_block4.block.conv2,Conv2d,-0.1078927218914032,228.90712742980563,0.05097622341579861,2.7997756004333496,2496135168,0.0608237087726593
stage4.stage4_block4.block.conv3,Conv2d,-0.09362676739692688,42.2078853046595,0.058755607821314906,0.4799005389213562,277348352,0.6188449263572693
stage4.stage4_block5.block.conv1,Conv2d,0.008124013431370258,42.2078853046595,0.06480611790330738,9.927851676940918,277348352,4.879651532974094e-05
stage4.stage4_block5.block.conv2,Conv2d,-0.10353919863700867,228.90712742980563,0.04891353704127612,2.5715818405151367,2496135168,0.0764145776629448
stage4.stage4_block5.block.conv3,Conv2d,-0.06459589302539825,42.2078853046595,0.05751617734508839,0.5418586730957031,277348352,0.581666111946106
stage4.stage4_block6.block.conv1,Conv2d,-0.018819518387317657,42.2078853046595,0.06286510763186363,9.853914260864258,277348352,5.254113057162613e-05
stage4.stage4_block6.block.conv2,Conv2d,-0.1342160403728485,228.90712742980563,0.04632224788237109,2.6815905570983887,2496135168,0.06845418363809586
stage4.stage4_block6.block.conv3,Conv2d,-0.07699989527463913,42.2078853046595,0.05458102018936821,0.8280817866325378,277348352,0.4368865191936493
fc,Linear,0.0,17.034818961651407,0.06710412066915761,33.38362503051758,18841600,3.1745039387307992e-15
