layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops,collapse_score
stem.conv1,Conv2d,0.0,4.90835557084288,0.10780725655732332,0.5105190277099609,113246208,0.6001839637756348
block1.depthwise,Conv2d,-0.14040988683700562,1.1249613775161833,0.16760971811082628,0.08877471834421158,37748736,0.9150516986846924
block1.pointwise,Conv2d,0.0,5.3324654190398695,0.09621217846870422,0.22002553939819336,268435456,0.8024982810020447
block2.depthwise,Conv2d,0.0,0.4499752821195125,0.18013437589009604,0.5084198713302612,18874368,0.601445198059082
block2.pointwise,Conv2d,0.0,10.652795838751626,0.07903699576854706,0.33970755338668823,268435456,0.7119784951210022
block3.depthwise,Conv2d,-0.014190786518156528,1.1248455259745214,0.1735308435228136,0.3034816384315491,37748736,0.7382434606552124
block3.pointwise,Conv2d,0.025159098207950592,15.968810916179336,0.06849583238363266,0.4687848687171936,536870912,0.6257621645927429
block4.depthwise,Conv2d,0.0,0.4499011447679953,0.183094236585829,0.6156479120254517,9437184,0.5402907133102417
block4.pointwise,Conv2d,0.0,21.11340206185567,0.0697767436504364,0.5183897018432617,268435456,0.5954786539077759
block5.depthwise,Conv2d,0.03671453520655632,1.1243823583236747,0.17703188790215385,0.2932269871234894,18874368,0.7458528280258179
block5.pointwise,Conv2d,0.01528981514275074,31.50769230769231,0.06437616795301437,0.6554439663887024,536870912,0.51921147108078
block6.depthwise,Conv2d,0.0,0.44960483949653623,0.1798384189605713,0.43951117992401123,4718592,0.6443513035774231
block6.pointwise,Conv2d,0.0,39.38461538461539,0.06578506529331207,0.5950068831443787,268435456,0.551558792591095
block7.depthwise,Conv2d,0.01665364019572735,1.1225334957369062,0.17617359426286486,0.2166462540626526,9437184,0.8052147626876831
block7.pointwise,Conv2d,-0.0045250458642840385,56.888888888888886,0.05787041410803795,0.5713118314743042,536870912,0.564784049987793
fc,Linear,0.0,17.97259793113283,0.06516562461853027,18.892574310302734,26214400,6.238198846375553e-09
