Experiment,Relative Sensitivity
Original Model,1.0
Stage 6,2.250459595407552
Stage 5,0.8361396873060098
Stage 4,1.3784557511812128
Stage 3,0.5544762757201221
Stage 2,0.9074594902275395
Stage 1,0.7102425946052965
Block 6 Only,2.292406209332973
Block 5 Only,0.8350430516227626
Block 4 Only,1.4011535153841237
Block 3 Only,0.5503329669219172
Block 2 Only,1.1194943934928632
Block 1 Only,0.6709923012355558
Stage 5-7,1.729817708601869
Stage 4-7,1.4238512795870344
Stage 6-7,2.250459595407552
Stage 3-7,1.3784557511812128
Stage 2-7,1.331529296758187
Stage 1-7,0.9074594902275395
Last 2,2.250459595407552
