layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops,collapse_score
stem.conv1,Conv2d,0.0,4.907620452856144,0.24658996087533455,3.911407709121704,56623104,0.02001230977475643
block1.depthwise,Conv2d,-0.21071594953536987,1.12492275768418,0.26394340727064347,0.1967114508152008,18874368,0.8214276432991028
block1.pointwise,Conv2d,0.0,5.331597787178652,0.22180113196372986,1.8460837602615356,134217728,0.15785415470600128
block2.depthwise,Conv2d,0.0,0.4499505669543141,0.2913287215762668,1.9934128522872925,9437184,0.13622969388961792
block2.pointwise,Conv2d,0.0,10.638961038961039,0.21731649339199066,3.178938627243042,134217728,0.041629817336797714
block3.depthwise,Conv2d,-0.14243583381175995,1.124691094364951,0.27859025531344944,1.335936188697815,18874368,0.26291191577911377
block3.pointwise,Conv2d,-0.018713021650910378,15.937743190661479,0.22119373083114624,5.444852828979492,268435456,0.0043184757232666016
block4.depthwise,Conv2d,0.0,0.4498023329591488,0.29895348019070095,2.3533105850219727,4718592,0.09505395591259003
block4.pointwise,Conv2d,0.0,20.897959183673468,0.22200126945972443,6.438620090484619,134217728,0.001598611124791205
block5.depthwise,Conv2d,-0.016420023515820503,1.1237653944640897,0.28289299541049534,1.1166056394577026,9437184,0.3273891806602478
block5.pointwise,Conv2d,0.016208257526159286,31.03030303030303,0.22378946840763092,8.076532363891602,268435456,0.00031074672006070614
block6.depthwise,Conv2d,0.0,0.4492103723922792,0.30227406819661456,2.5186245441436768,2359296,0.08057035505771637
block6.pointwise,Conv2d,0.0,36.57142857142857,0.22384013235569,7.346090793609619,134217728,0.0006451092776842415
block7.depthwise,Conv2d,-0.004213420208543539,1.1200777831793876,0.27712999449835884,1.4382253885269165,4718592,0.23734858632087708
block7.pointwise,Conv2d,-0.01014268584549427,51.2,0.2228131741285324,8.215169906616211,268435456,0.0002705185324884951
fc,Linear,0.0,11.057718265752388,0.20038705825805664,8.759770393371582,6553600,0.00015692063607275486
