layer,identity_score,arithmetic_intensity,flops,memory_bytes
stem.conv1,0.0,4.907620452856144,56623104,11537792
stem.bn1,0.902811586856842,0.24999618536094115,4194304,16777472
block1.depthwise,-0.093471460044384,1.12492275768418,18874368,16778368
block1.bn1,0.7960495352745056,0.24999618536094115,4194304,16777472
block1.relu,1.0,0.0,0,16777216
block1.pointwise,0.0,5.331597787178652,134217728,25174016
block1.bn2,0.806918740272522,0.24999618536094115,8388608,33554944
block1,0.0,6.580689115193175,165675008,25175936
block2.depthwise,0.0,0.4499505669543141,9437184,20973824
block2.bn1,0.9591516256332397,0.24998474214220323,2097152,8389120
block2.relu,1.0,0.0,0,8388608
block2.pointwise,0.0,10.638961038961039,134217728,12615680
block2.bn2,0.7711339592933655,0.24998474214220323,4194304,16778240
block2,0.0,5.949678507217081,149946368,25202432
block3.depthwise,0.03057539090514183,1.124691094364951,18874368,16781824
block3.bn1,0.9681710600852966,0.24998474214220323,4194304,16778240
block3.relu,1.0,0.0,0,16777216
block3.pointwise,0.012447607703506947,15.937743190661479,268435456,16842752
block3.bn2,0.7917414903640747,0.24998474214220323,4194304,16778240
block3,-0.011285386979579926,17.549484943328572,295698432,16849408
block4.depthwise,0.0,0.4498023329591488,4718592,10490368
block4.bn1,0.9741674661636353,0.2499389797412741,1048576,4195328
block4.relu,1.0,0.0,0,4194304
block4.pointwise,0.0,20.897959183673468,134217728,6422528
block4.bn2,0.81110018491745,0.2499389797412741,2097152,8390656
block4,0.0,11.168511289089226,142082048,12721664
block5.depthwise,0.03815154731273651,1.1237653944640897,9437184,8397824
block5.bn1,0.9711623191833496,0.2499389797412741,2097152,8390656
block5.relu,1.0,0.0,0,8388608
block5.pointwise,0.022653833031654358,31.03030303030303,268435456,8650752
block5.bn2,0.7568445205688477,0.2499389797412741,2097152,8390656
block5,0.0032794452272355556,32.55596265216877,282066944,8664064
block6.depthwise,0.0,0.4492103723922792,2359296,5252096
block6.bn1,0.9714423418045044,0.2497560975609756,524288,2099200
block6.relu,1.0,0.0,0,2097152
block6.pointwise,0.0,36.57142857142857,134217728,3670016
block6.bn2,0.8318183422088623,0.2497560975609756,1048576,4198400
block6,0.0,20.223654624494078,138149888,6831104
block7.depthwise,0.009313556365668774,1.1200777831793876,4718592,4212736
block7.bn1,0.9775663614273071,0.2497560975609756,1048576,4198400
block7.relu,1.0,0.0,0,4194304
block7.pointwise,0.01354263722896576,51.2,268435456,5242880
block7.bn2,0.8639276027679443,0.2497560975609756,1048576,4198400
block7,-0.0005783913074992597,52.23474543334629,275251200,5269504
fc,0.0,11.057718265752388,6553600,592672
