layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops
stem.conv1,Conv2d,0.0,4.90835557084288,0.09815788269042969,0.45548778772354126,113246208
stem.conv2,Conv2d,0.0,23.929892891918207,0.02932694885465834,0.29444846510887146,603979776
block1.depthwise,Conv2d,0.0,0.4499011447679953,0.16683827506171334,0.1613372564315796,4718592
block1.pointwise,Conv2d,0.0,10.61139896373057,0.06164994463324547,0.18997789919376373,67108864
block2.depthwise,Conv2d,0.0,0.44960483949653623,0.1724681854248047,0.28183433413505554,2359296
block2.pointwise,Conv2d,0.0,20.48,0.043996769934892654,0.19150935113430023,67108864
block3.depthwise,Conv2d,0.0,0.44842351109381084,0.1620870696173774,0.15822267532348633,1179648
block3.pointwise,Conv2d,0.0,34.56379821958457,0.03113566912137545,0.18552184104919434,95420416
block4.depthwise,Conv2d,0.007607453502714634,1.1151984511132624,0.16800332913614163,0.04004805535078049,3354624
block4.pointwise,Conv2d,-0.005382942035794258,53.18721461187214,0.018425641004020877,0.18567590415477753,271351808
block5.depthwise,Conv2d,-0.057603634893894196,1.1151984511132624,0.1653715140653617,0.039863597601652145,3354624
block5.pointwise,Conv2d,-0.013198556378483772,53.18721461187214,0.01842779319163409,0.18138517439365387,271351808
fc,Linear,0.0,2.4194461321161325,0.01829121348622081,3.5619075298309326,3727360
