Experiment,Median Variance
Original Model,3.2342369556427
Stage 4 (Full),1.3492146730422974
Stage 3 (Full),1.1540026664733887
Stage 2 (Full),1.4324833154678345
Stage 1 (Full),1.4324833154678345
Block 4 Only,11.081620395183563
Block 3 Only,5.375543832778931
Block 2 Only,3.165400803089142
Block 1 Only,1.7997646480798721
Stage 3-5,1.3492146730422974
Stage 2-5,1.4324833154678345
