Experiment,Relative Variance
Original Model,1.0
Last 2,1.1657639525262713
Stage 4 (Full),1.3124533487588685
Stage 3 (Full),1.1654814964156877
Stage 2 (Full),0.0910377984307075
Stage 1 (Full),0.06795117301983794
Stage 3 Block 0 Only,0.21848479192708783
Stage 3 Block 1 Only,1.5224802127446306
Stage 3 Block 2 Only,1.1654814964156877
Stage 3 Block 3 Only,1.1955514517117682
Stage 4 Block 0 Only,1.133874429509235
Stage 4 Block 1 Only,2.6457129193656956
Stage 4 Block 2 Only,2.294155439832357
Stage 4 Block 3 Only,1.8467083169422764
Stage 4 Block 4 Only,1.4720707084173204
Stage 4 Block 5 Only,1.316438389563867
Stage 4 Block 6 Only,1.0230595970986724
Stage 1 Block 0 Only,0.06795117301983794
Stage 3-4,1.1955514517117682
Stage 2-4,1.1496779629624614
Stage 1-4,1.0657034832498964
Stage 1 first 2 conv,0.1538109064702411
Stage 2 first 2 conv,0.578370640840302
Stage 3 first 2 conv,0.21852983020267117
Stage 4 first 2 conv,1.133874429509235
Stage 1 last 2 conv,0.12747439163217
Stage 2 last 2 conv,0.5572666441647576
Stage 3 last 2 conv,0.6264509694475452
Stage 4 last 2 conv,0.678512413382859
