Experiment,Relative Sensitivity
Original Model,1.0
Stage 4 (Full),1.0
Stage 3 (Full),1.3299509333291728
Stage 2 (Full),1.1753320409613925
Stage 1 (Full),0.8969723429061355
Block 4 Only,1.0151378675565794
Block 3 Only,1.4557371432859345
Block 2 Only,0.998726480567336
Block 1 Only,0.7432559795419639
Stage 3-5,1.1107196661750156
Stage 2-5,1.1107196661750156
