Experiment,Median Variance
Original Model,2.8487815856933594
Stage 6,2.5186245441436768
Stage 5,2.5186245441436768
Stage 4,2.3533105850219727
Stage 3,2.3533105850219727
Stage 2,1.993412733078003
Stage 1,1.8460838794708252
Block 6 Only,4.932357430458069
Block 5 Only,4.596568942070007
Block 4 Only,4.395965099334717
Block 3 Only,3.3903945088386536
Block 2 Only,2.5861756801605225
Block 1 Only,1.021397665143013
Stage 5-7,2.5186245441436768
Stage 4-7,2.5186245441436768
Stage 6-7,2.5186245441436768
Stage 3-7,2.5186245441436768
Stage 2-7,2.5186245441436768
Stage 1-7,2.3533105850219727
Last 2,2.5186245441436768
