Layer,Mean Activation,Variance
stem.conv1,0.0161225795745849,3.151352882385254
features.0.depthwise.0,0.0455350764095783,0.1453341841697693
features.0.pointwise.0,-0.0470928624272346,1.8489196300506592
features.1.depthwise.0,-0.0549145825207233,0.5305875539779663
features.1.pointwise.0,0.0358146876096725,3.5429341793060303
features.2.depthwise.0,-0.0420032143592834,0.4377077519893646
features.2.pointwise.0,-0.2060443460941314,7.246336460113525
features.3.depthwise.0,0.1296080350875854,0.6670969724655151
features.3.pointwise.0,-0.3621379733085632,9.178771018981934
features.4.depthwise.0,8.990475907921791e-05,0.445189505815506
features.4.pointwise.0,-0.4488248527050018,14.452102661132812
features.5.depthwise.0,-0.0218923985958099,0.5355879068374634
features.5.pointwise.0,-1.6123902797698977,17.699840545654297
features.6.depthwise.0,-0.0112394029274582,0.3832897841930389
features.6.pointwise.0,-1.0887846946716309,31.4919376373291
features.7.depthwise.0,0.0933779180049896,0.4728967249393463
features.7.pointwise.0,-1.0625580549240112,33.66217041015625
features.8.depthwise.0,0.0700282305479049,0.5126403570175171
features.8.pointwise.0,-1.0002408027648926,44.86763381958008
features.9.depthwise.0,-0.0111228674650192,0.5199463367462158
features.9.pointwise.0,-1.2649070024490356,66.1904296875
features.10.depthwise.0,-0.0408925861120224,0.5386009812355042
features.10.pointwise.0,-2.528164863586426,83.7337417602539
features.11.depthwise.0,0.0936923176050186,0.7467485666275024
features.11.pointwise.0,-0.7874047756195068,130.1695556640625
features.12.depthwise.0,-0.0647817105054855,0.2003506124019622
features.12.pointwise.0,-4.550484657287598,21.537904739379883
fc,-12.531469345092772,32.83598327636719
