exp,ranges
Original Model,
Stage 2 (Full),"('stage2.conv2', 'stage2.conv3')"
Stage 3 (Full),"('stage3.inception_3a', 'stage3.inception_3b')"
Stage 4 (Full),"('stage4.inception_4a', 'stage4.inception_4e')"
Stage 5 (Full),"('stage5.inception_5a', 'stage5.inception_5b')"
Stage 3a Only,"('stage3.inception_3a', 'stage3.inception_3a')"
Stage 4a Only,"('stage4.inception_4a', 'stage4.inception_4a')"
Stage 5a Only,"('stage5.inception_5a', 'stage5.inception_5a')"
Stage 5b Only,"('stage5.inception_5b', 'stage5.inception_5b')"
Stages 2 and 3,"('stage2.conv2', 'stage3.inception_3b')"
Stages 3 and 4,"('stage3.inception_3a', 'stage4.inception_4e')"
