Architecture,Dataset,Candidate_Name,Quantized,Ranges,d_Acc,Accuracy,Params,FLOPs,Memory
InceptionNet,tinyimagenet,Stage 2 (Full),True,"('stage2.conv2', 'stage2.conv3')",-5.502499999999998,38.172,6083304.0,6634135552.0,109.9072265625
InceptionNet,tinyimagenet,Stage 3 (Full),True,"('stage3.inception_3a', 'stage3.inception_3b')",-3.001499999999993,40.673,5725512.0,6427303936.0,97.7822265625
InceptionNet,tinyimagenet,Stage 4 (Full),True,"('stage4.inception_4a', 'stage4.inception_4e')",5.6085000000000065,49.283,3774024.0,5841969152.0,89.9697265625
InceptionNet,tinyimagenet,Stage 5 (Full),True,"('stage5.inception_5a', 'stage5.inception_5b')",1.4475000000000051,45.122,4550024.0,7891877888.0,108.5556640625
InceptionNet,tinyimagenet,Stages 2 and 3,True,"('stage2.conv2', 'stage3.inception_3b')",-13.811499999999995,29.863,5343872.0,4670283776.0,102.2578125
InceptionNet,tinyimagenet,Stages 3 and 4,True,"('stage3.inception_3a', 'stage4.inception_4e')",-12.861499999999996,30.813,2775968.0,3815006208.0,74.8828125
