exp,ranges
Original Model,
Stage 1 (Full),"('stages.0.0.dwconv', 'stages.0.2.pwconv2')"
Stage 2 (Full),"('stages.1.0.dwconv', 'stages.1.2.pwconv2')"
Stage 3 (Full),"('stages.2.0.dwconv', 'stages.2.8.pwconv2')"
Stage 4 (Full),"('stages.3.0.dwconv', 'stages.3.2.pwconv2')"
Stage 1 Block 0 Only,"('stages.0.0.dwconv', 'stages.0.0.pwconv2')"
Stage 1 Block 2 Only,"('stages.0.2.dwconv', 'stages.0.2.pwconv2')"
Stage 3 Block 8 Only,"('stages.2.8.dwconv', 'stages.2.8.pwconv2')"
Stage 4 Block 0 Only,"('stages.3.0.dwconv', 'stages.3.0.pwconv2')"
Stage 4 Block 2 Only,"('stages.3.2.dwconv', 'stages.3.2.pwconv2')"
Stages 1 and 2,"('stages.0.0.dwconv', 'stages.1.2.pwconv2')"
Stages 3 and 4,"('stages.2.0.dwconv', 'stages.3.2.pwconv2')"
